,id,level_durability,red,orange,yellow,green,blue,white,purple
7,8,base,60,60,20,150,60,0,0
7,8,sharpness +1,60,60,20,150,70,0,0
7,8,sharpness +2,60,60,20,150,80,0,0
7,8,sharpness +3,60,60,20,150,90,0,0
7,8,sharpness +4,60,60,20,150,90,10,0
7,8,sharpness +5,60,60,20,150,90,20,0
8,9,base,120,120,40,50,70,0,0
8,9,sharpness +1,120,120,40,50,70,0,0
8,9,sharpness +2,120,120,40,50,70,0,0
8,9,sharpness +3,120,120,40,50,70,0,0
8,9,sharpness +4,120,120,40,50,70,0,0
8,9,sharpness +5,120,120,40,50,70,0,0
9,10,base,110,120,40,50,80,0,0
9,10,sharpness +1,110,120,40,50,80,0,0
9,10,sharpness +2,110,120,40,50,80,0,0
9,10,sharpness +3,110,120,40,50,80,0,0
9,10,sharpness +4,110,120,40,50,80,0,0
9,10,sharpness +5,110,120,40,50,80,0,0
10,11,base,70,50,80,50,0,0,0
10,11,sharpness +1,70,50,80,60,0,0,0
10,11,sharpness +2,70,50,80,70,0,0,0
10,11,sharpness +3,70,50,80,80,0,0,0
10,11,sharpness +4,70,50,80,90,0,0,0
10,11,sharpness +5,70,50,80,100,0,0,0
11,12,base,60,50,80,60,0,0,0
11,12,sharpness +1,60,50,80,70,0,0,0
11,12,sharpness +2,60,50,80,80,0,0,0
11,12,sharpness +3,60,50,80,90,0,0,0
11,12,sharpness +4,60,50,80,100,0,0,0
11,12,sharpness +5,60,50,80,110,0,0,0
12,13,base,100,50,80,70,0,0,0
12,13,sharpness +1,100,50,80,80,0,0,0
12,13,sharpness +2,100,50,80,90,0,0,0
12,13,sharpness +3,100,50,80,100,0,0,0
12,13,sharpness +4,100,50,80,100,10,0,0
12,13,sharpness +5,100,50,80,100,20,0,0
13,14,base,100,50,50,80,20,0,0
13,14,sharpness +1,100,50,50,80,30,0,0
13,14,sharpness +2,100,50,50,80,40,0,0
13,14,sharpness +3,100,50,50,80,50,0,0
13,14,sharpness +4,100,50,50,80,60,0,0
13,14,sharpness +5,100,50,50,80,70,0,0
14,15,base,100,120,40,50,40,0,0
14,15,sharpness +1,100,120,40,50,50,0,0
14,15,sharpness +2,100,120,40,50,60,0,0
14,15,sharpness +3,100,120,40,50,70,0,0
14,15,sharpness +4,100,120,40,50,80,0,0
14,15,sharpness +5,100,120,40,50,90,0,0
15,16,base,60,50,80,60,0,0,0
15,16,sharpness +1,60,50,80,70,0,0,0
15,16,sharpness +2,60,50,80,80,0,0,0
15,16,sharpness +3,60,50,80,90,0,0,0
15,16,sharpness +4,60,50,80,100,0,0,0
15,16,sharpness +5,60,50,80,110,0,0,0
16,17,base,100,50,80,70,0,0,0
16,17,sharpness +1,100,50,80,80,0,0,0
16,17,sharpness +2,100,50,80,90,0,0,0
16,17,sharpness +3,100,50,80,100,0,0,0
16,17,sharpness +4,100,50,80,100,10,0,0
16,17,sharpness +5,100,50,80,100,20,0,0
17,18,base,90,50,50,80,30,0,0
17,18,sharpness +1,90,50,50,80,40,0,0
17,18,sharpness +2,90,50,50,80,50,0,0
17,18,sharpness +3,90,50,50,80,60,0,0
17,18,sharpness +4,90,50,50,80,70,0,0
17,18,sharpness +5,90,50,50,80,80,0,0
18,19,base,70,70,80,80,50,0,0
18,19,sharpness +1,70,70,80,80,60,0,0
18,19,sharpness +2,70,70,80,80,70,0,0
18,19,sharpness +3,70,70,80,80,80,0,0
18,19,sharpness +4,70,70,80,80,80,10,0
18,19,sharpness +5,70,70,80,80,80,20,0
19,20,base,80,70,30,20,0,0,0
19,20,sharpness +1,80,70,30,30,0,0,0
19,20,sharpness +2,80,70,30,40,0,0,0
19,20,sharpness +3,80,70,30,50,0,0,0
19,20,sharpness +4,80,70,30,60,0,0,0
19,20,sharpness +5,80,70,30,70,0,0,0
20,21,base,80,50,80,40,0,0,0
20,21,sharpness +1,80,50,80,50,0,0,0
20,21,sharpness +2,80,50,80,60,0,0,0
20,21,sharpness +3,80,50,80,70,0,0,0
20,21,sharpness +4,80,50,80,80,0,0,0
20,21,sharpness +5,80,50,80,90,0,0,0
21,22,base,60,50,80,60,0,0,0
21,22,sharpness +1,60,50,80,70,0,0,0
21,22,sharpness +2,60,50,80,80,0,0,0
21,22,sharpness +3,60,50,80,90,0,0,0
21,22,sharpness +4,60,50,80,100,0,0,0
21,22,sharpness +5,60,50,80,110,0,0,0
22,23,base,100,50,80,70,0,0,0
22,23,sharpness +1,100,50,80,80,0,0,0
22,23,sharpness +2,100,50,80,90,0,0,0
22,23,sharpness +3,100,50,80,100,0,0,0
22,23,sharpness +4,100,50,80,100,10,0,0
22,23,sharpness +5,100,50,80,100,20,0,0
23,24,base,110,50,50,80,10,0,0
23,24,sharpness +1,110,50,50,80,20,0,0
23,24,sharpness +2,110,50,50,80,30,0,0
23,24,sharpness +3,110,50,50,80,40,0,0
23,24,sharpness +4,110,50,50,80,50,0,0
23,24,sharpness +5,110,50,50,80,60,0,0
24,25,base,110,120,40,50,30,0,0
24,25,sharpness +1,110,120,40,50,40,0,0
24,25,sharpness +2,110,120,40,50,50,0,0
24,25,sharpness +3,110,120,40,50,60,0,0
24,25,sharpness +4,110,120,40,50,70,0,0
24,25,sharpness +5,110,120,40,50,80,0,0
25,26,base,80,50,80,40,0,0,0
25,26,sharpness +1,80,50,80,50,0,0,0
25,26,sharpness +2,80,50,80,60,0,0,0
25,26,sharpness +3,80,50,80,70,0,0,0
25,26,sharpness +4,80,50,80,80,0,0,0
25,26,sharpness +5,80,50,80,90,0,0,0
26,27,base,60,50,80,60,0,0,0
26,27,sharpness +1,60,50,80,70,0,0,0
26,27,sharpness +2,60,50,80,80,0,0,0
26,27,sharpness +3,60,50,80,90,0,0,0
26,27,sharpness +4,60,50,80,100,0,0,0
26,27,sharpness +5,60,50,80,110,0,0,0
27,28,base,110,50,50,80,10,0,0
27,28,sharpness +1,110,50,50,80,20,0,0
27,28,sharpness +2,110,50,50,80,30,0,0
27,28,sharpness +3,110,50,50,80,40,0,0
27,28,sharpness +4,110,50,50,80,50,0,0
27,28,sharpness +5,110,50,50,80,60,0,0
28,29,base,100,50,50,80,20,0,0
28,29,sharpness +1,100,50,50,80,30,0,0
28,29,sharpness +2,100,50,50,80,40,0,0
28,29,sharpness +3,100,50,50,80,50,0,0
28,29,sharpness +4,100,50,50,80,60,0,0
28,29,sharpness +5,100,50,50,80,70,0,0
29,30,base,80,60,60,100,50,0,0
29,30,sharpness +1,80,60,60,100,60,0,0
29,30,sharpness +2,80,60,60,100,70,0,0
29,30,sharpness +3,80,60,60,100,70,10,0
29,30,sharpness +4,80,60,60,100,70,20,0
29,30,sharpness +5,80,60,60,100,70,30,0
30,31,base,100,50,50,80,20,0,0
30,31,sharpness +1,100,50,50,80,30,0,0
30,31,sharpness +2,100,50,50,80,40,0,0
30,31,sharpness +3,100,50,50,80,50,0,0
30,31,sharpness +4,100,50,50,80,60,0,0
30,31,sharpness +5,100,50,50,80,70,0,0
31,32,base,90,60,60,100,40,0,0
31,32,sharpness +1,90,60,60,100,50,0,0
31,32,sharpness +2,90,60,60,100,60,0,0
31,32,sharpness +3,90,60,60,100,60,10,0
31,32,sharpness +4,90,60,60,100,60,20,0
31,32,sharpness +5,90,60,60,100,60,30,0
32,33,base,60,70,30,40,0,0,0
32,33,sharpness +1,60,70,30,50,0,0,0
32,33,sharpness +2,60,70,30,60,0,0,0
32,33,sharpness +3,60,70,30,70,0,0,0
32,33,sharpness +4,60,70,30,80,0,0,0
32,33,sharpness +5,60,70,30,90,0,0,0
33,34,base,70,50,80,50,0,0,0
33,34,sharpness +1,70,50,80,60,0,0,0
33,34,sharpness +2,70,50,80,70,0,0,0
33,34,sharpness +3,70,50,80,80,0,0,0
33,34,sharpness +4,70,50,80,90,0,0,0
33,34,sharpness +5,70,50,80,100,0,0,0
34,35,base,60,50,80,60,0,0,0
34,35,sharpness +1,60,50,80,70,0,0,0
34,35,sharpness +2,60,50,80,80,0,0,0
34,35,sharpness +3,60,50,80,90,0,0,0
34,35,sharpness +4,60,50,80,100,0,0,0
34,35,sharpness +5,60,50,80,110,0,0,0
35,36,base,110,50,40,90,10,0,0
35,36,sharpness +1,110,50,40,90,20,0,0
35,36,sharpness +2,110,50,40,90,30,0,0
35,36,sharpness +3,110,50,40,90,40,0,0
35,36,sharpness +4,110,50,40,90,50,0,0
35,36,sharpness +5,110,50,40,90,60,0,0
36,37,base,100,50,50,80,20,0,0
36,37,sharpness +1,100,50,50,80,30,0,0
36,37,sharpness +2,100,50,50,80,40,0,0
36,37,sharpness +3,100,50,50,80,50,0,0
36,37,sharpness +4,100,50,50,80,60,0,0
36,37,sharpness +5,100,50,50,80,70,0,0
37,38,base,110,120,40,50,30,0,0
37,38,sharpness +1,110,120,40,50,40,0,0
37,38,sharpness +2,110,120,40,50,50,0,0
37,38,sharpness +3,110,120,40,50,60,0,0
37,38,sharpness +4,110,120,40,50,70,0,0
37,38,sharpness +5,110,120,40,50,80,0,0
38,39,base,70,50,80,50,0,0,0
38,39,sharpness +1,70,50,80,60,0,0,0
38,39,sharpness +2,70,50,80,70,0,0,0
38,39,sharpness +3,70,50,80,80,0,0,0
38,39,sharpness +4,70,50,80,90,0,0,0
38,39,sharpness +5,70,50,80,100,0,0,0
39,40,base,100,50,80,70,0,0,0
39,40,sharpness +1,100,50,80,80,0,0,0
39,40,sharpness +2,100,50,80,90,0,0,0
39,40,sharpness +3,100,50,80,100,0,0,0
39,40,sharpness +4,100,50,80,100,10,0,0
39,40,sharpness +5,100,50,80,100,20,0,0
40,41,base,100,50,50,80,20,0,0
40,41,sharpness +1,100,50,50,80,30,0,0
40,41,sharpness +2,100,50,50,80,40,0,0
40,41,sharpness +3,100,50,50,80,50,0,0
40,41,sharpness +4,100,50,50,80,60,0,0
40,41,sharpness +5,100,50,50,80,70,0,0
41,42,base,110,120,40,50,30,0,0
41,42,sharpness +1,110,120,40,50,40,0,0
41,42,sharpness +2,110,120,40,50,50,0,0
41,42,sharpness +3,110,120,40,50,60,0,0
41,42,sharpness +4,110,120,40,50,70,0,0
41,42,sharpness +5,110,120,40,50,80,0,0
42,43,base,90,60,60,100,40,0,0
42,43,sharpness +1,90,60,60,100,50,0,0
42,43,sharpness +2,90,60,60,100,60,0,0
42,43,sharpness +3,90,60,60,100,60,10,0
42,43,sharpness +4,90,60,60,100,60,20,0
42,43,sharpness +5,90,60,60,100,60,30,0
43,44,base,100,60,40,0,0,0,0
43,44,sharpness +1,100,60,50,0,0,0,0
43,44,sharpness +2,100,60,60,0,0,0,0
43,44,sharpness +3,100,60,70,0,0,0,0
43,44,sharpness +4,100,60,80,0,0,0,0
43,44,sharpness +5,100,60,80,10,0,0,0
44,45,base,90,60,50,0,0,0,0
44,45,sharpness +1,90,60,60,0,0,0,0
44,45,sharpness +2,90,60,70,0,0,0,0
44,45,sharpness +3,90,60,80,0,0,0,0
44,45,sharpness +4,90,60,80,10,0,0,0
44,45,sharpness +5,90,60,80,20,0,0,0
45,46,base,90,50,50,10,0,0,0
45,46,sharpness +1,90,50,50,20,0,0,0
45,46,sharpness +2,90,50,50,30,0,0,0
45,46,sharpness +3,90,50,50,40,0,0,0
45,46,sharpness +4,90,50,50,50,0,0,0
45,46,sharpness +5,90,50,50,60,0,0,0
46,47,base,130,70,30,20,0,0,0
46,47,sharpness +1,130,70,30,30,0,0,0
46,47,sharpness +2,130,70,30,40,0,0,0
46,47,sharpness +3,130,70,30,50,0,0,0
46,47,sharpness +4,130,70,30,60,0,0,0
46,47,sharpness +5,130,70,30,70,0,0,0
47,48,base,120,70,30,30,0,0,0
47,48,sharpness +1,120,70,30,40,0,0,0
47,48,sharpness +2,120,70,30,50,0,0,0
47,48,sharpness +3,120,70,30,60,0,0,0
47,48,sharpness +4,120,70,30,70,0,0,0
47,48,sharpness +5,120,70,30,80,0,0,0
48,49,base,120,60,80,40,0,0,0
48,49,sharpness +1,120,60,80,50,0,0,0
48,49,sharpness +2,120,60,80,60,0,0,0
48,49,sharpness +3,120,60,80,70,0,0,0
48,49,sharpness +4,120,60,80,80,0,0,0
48,49,sharpness +5,120,60,80,80,10,0,0
49,50,base,110,100,40,40,10,0,0
49,50,sharpness +1,110,100,40,40,20,0,0
49,50,sharpness +2,110,100,40,40,30,0,0
49,50,sharpness +3,110,100,40,40,40,0,0
49,50,sharpness +4,110,100,40,40,50,0,0
49,50,sharpness +5,110,100,40,40,60,0,0
50,51,base,110,120,40,50,30,0,0
50,51,sharpness +1,110,120,40,50,40,0,0
50,51,sharpness +2,110,120,40,50,50,0,0
50,51,sharpness +3,110,120,40,50,60,0,0
50,51,sharpness +4,110,120,40,50,70,0,0
50,51,sharpness +5,110,120,40,50,80,0,0
51,52,base,110,60,80,80,20,0,0
51,52,sharpness +1,110,60,80,80,30,0,0
51,52,sharpness +2,110,60,80,80,40,0,0
51,52,sharpness +3,110,60,80,80,50,0,0
51,52,sharpness +4,110,60,80,80,50,10,0
51,52,sharpness +5,110,60,80,80,50,20,0
52,53,base,200,70,20,20,40,0,0
52,53,sharpness +1,200,70,20,20,50,0,0
52,53,sharpness +2,200,70,20,20,50,10,0
52,53,sharpness +3,200,70,20,20,50,20,0
52,53,sharpness +4,200,70,20,20,50,30,0
52,53,sharpness +5,200,70,20,20,50,40,0
53,54,base,120,70,30,30,0,0,0
53,54,sharpness +1,120,70,30,40,0,0,0
53,54,sharpness +2,120,70,30,50,0,0,0
53,54,sharpness +3,120,70,30,60,0,0,0
53,54,sharpness +4,120,70,30,70,0,0,0
53,54,sharpness +5,120,70,30,80,0,0,0
54,55,base,110,100,40,40,10,0,0
54,55,sharpness +1,110,100,40,40,20,0,0
54,55,sharpness +2,110,100,40,40,30,0,0
54,55,sharpness +3,110,100,40,40,40,0,0
54,55,sharpness +4,110,100,40,40,50,0,0
54,55,sharpness +5,110,100,40,40,60,0,0
55,56,base,120,120,40,50,20,0,0
55,56,sharpness +1,120,120,40,50,30,0,0
55,56,sharpness +2,120,120,40,50,40,0,0
55,56,sharpness +3,120,120,40,50,50,0,0
55,56,sharpness +4,120,120,40,50,60,0,0
55,56,sharpness +5,120,120,40,50,70,0,0
56,57,base,90,70,30,10,0,0,0
56,57,sharpness +1,90,70,30,20,0,0,0
56,57,sharpness +2,90,70,30,30,0,0,0
56,57,sharpness +3,90,70,30,40,0,0,0
56,57,sharpness +4,90,70,30,50,0,0,0
56,57,sharpness +5,90,70,30,60,0,0,0
57,58,base,130,70,30,20,0,0,0
57,58,sharpness +1,130,70,30,30,0,0,0
57,58,sharpness +2,130,70,30,40,0,0,0
57,58,sharpness +3,130,70,30,50,0,0,0
57,58,sharpness +4,130,70,30,60,0,0,0
57,58,sharpness +5,130,70,30,70,0,0,0
58,59,base,120,70,30,30,0,0,0
58,59,sharpness +1,120,70,30,40,0,0,0
58,59,sharpness +2,120,70,30,50,0,0,0
58,59,sharpness +3,120,70,30,60,0,0,0
58,59,sharpness +4,120,70,30,70,0,0,0
58,59,sharpness +5,120,70,30,80,0,0,0
59,60,base,140,70,30,60,0,0,0
59,60,sharpness +1,140,70,30,70,0,0,0
59,60,sharpness +2,140,70,30,80,0,0,0
59,60,sharpness +3,140,70,30,90,0,0,0
59,60,sharpness +4,140,70,30,100,0,0,0
59,60,sharpness +5,140,70,30,100,10,0,0
60,61,base,130,70,30,70,0,0,0
60,61,sharpness +1,130,70,30,80,0,0,0
60,61,sharpness +2,130,70,30,90,0,0,0
60,61,sharpness +3,130,70,30,100,0,0,0
60,61,sharpness +4,130,70,30,100,10,0,0
60,61,sharpness +5,130,70,30,100,20,0,0
61,62,base,190,70,20,50,20,0,0
61,62,sharpness +1,190,70,20,50,30,0,0
61,62,sharpness +2,190,70,20,50,30,10,0
61,62,sharpness +3,190,70,20,50,30,20,0
61,62,sharpness +4,190,70,20,50,30,30,0
61,62,sharpness +5,190,70,20,50,30,40,0
62,63,base,80,70,30,20,0,0,0
62,63,sharpness +1,80,70,30,30,0,0,0
62,63,sharpness +2,80,70,30,40,0,0,0
62,63,sharpness +3,80,70,30,50,0,0,0
62,63,sharpness +4,80,70,30,60,0,0,0
62,63,sharpness +5,80,70,30,70,0,0,0
63,64,base,120,70,30,30,0,0,0
63,64,sharpness +1,120,70,30,40,0,0,0
63,64,sharpness +2,120,70,30,50,0,0,0
63,64,sharpness +3,120,70,30,60,0,0,0
63,64,sharpness +4,120,70,30,70,0,0,0
63,64,sharpness +5,120,70,30,80,0,0,0
64,65,base,110,70,30,40,0,0,0
64,65,sharpness +1,110,70,30,50,0,0,0
64,65,sharpness +2,110,70,30,60,0,0,0
64,65,sharpness +3,110,70,30,70,0,0,0
64,65,sharpness +4,110,70,30,80,0,0,0
64,65,sharpness +5,110,70,30,90,0,0,0
65,66,base,110,100,40,40,10,0,0
65,66,sharpness +1,110,100,40,40,20,0,0
65,66,sharpness +2,110,100,40,40,30,0,0
65,66,sharpness +3,110,100,40,40,40,0,0
65,66,sharpness +4,110,100,40,40,50,0,0
65,66,sharpness +5,110,100,40,40,60,0,0
66,67,base,100,100,40,40,20,0,0
66,67,sharpness +1,100,100,40,40,30,0,0
66,67,sharpness +2,100,100,40,40,40,0,0
66,67,sharpness +3,100,100,40,40,50,0,0
66,67,sharpness +4,100,100,40,40,60,0,0
66,67,sharpness +5,100,100,40,40,70,0,0
67,68,base,110,120,40,50,30,0,0
67,68,sharpness +1,110,120,40,50,40,0,0
67,68,sharpness +2,110,120,40,50,50,0,0
67,68,sharpness +3,110,120,40,50,60,0,0
67,68,sharpness +4,110,120,40,50,70,0,0
67,68,sharpness +5,110,120,40,50,80,0,0
68,69,base,120,70,30,30,0,0,0
68,69,sharpness +1,120,70,30,40,0,0,0
68,69,sharpness +2,120,70,30,50,0,0,0
68,69,sharpness +3,120,70,30,60,0,0,0
68,69,sharpness +4,120,70,30,70,0,0,0
68,69,sharpness +5,120,70,30,80,0,0,0
69,70,base,110,70,30,40,0,0,0
69,70,sharpness +1,110,70,30,50,0,0,0
69,70,sharpness +2,110,70,30,60,0,0,0
69,70,sharpness +3,110,70,30,70,0,0,0
69,70,sharpness +4,110,70,30,80,0,0,0
69,70,sharpness +5,110,70,30,90,0,0,0
70,71,base,140,70,30,60,0,0,0
70,71,sharpness +1,140,70,30,70,0,0,0
70,71,sharpness +2,140,70,30,80,0,0,0
70,71,sharpness +3,140,70,30,90,0,0,0
70,71,sharpness +4,140,70,30,100,0,0,0
70,71,sharpness +5,140,70,30,100,10,0,0
71,72,base,110,100,40,40,10,0,0
71,72,sharpness +1,110,100,40,40,20,0,0
71,72,sharpness +2,110,100,40,40,30,0,0
71,72,sharpness +3,110,100,40,40,40,0,0
71,72,sharpness +4,110,100,40,40,50,0,0
71,72,sharpness +5,110,100,40,40,60,0,0
72,73,base,110,120,40,50,30,0,0
72,73,sharpness +1,110,120,40,50,40,0,0
72,73,sharpness +2,110,120,40,50,50,0,0
72,73,sharpness +3,110,120,40,50,60,0,0
72,73,sharpness +4,110,120,40,50,70,0,0
72,73,sharpness +5,110,120,40,50,80,0,0
73,74,base,110,70,30,40,0,0,0
73,74,sharpness +1,110,70,30,50,0,0,0
73,74,sharpness +2,110,70,30,60,0,0,0
73,74,sharpness +3,110,70,30,70,0,0,0
73,74,sharpness +4,110,70,30,80,0,0,0
73,74,sharpness +5,110,70,30,90,0,0,0
74,75,base,100,70,30,50,0,0,0
74,75,sharpness +1,100,70,30,60,0,0,0
74,75,sharpness +2,100,70,30,70,0,0,0
74,75,sharpness +3,100,70,30,80,0,0,0
74,75,sharpness +4,100,70,30,90,0,0,0
74,75,sharpness +5,100,70,30,100,0,0,0
75,76,base,120,110,40,40,40,0,0
75,76,sharpness +1,120,110,40,40,50,0,0
75,76,sharpness +2,120,110,40,40,60,0,0
75,76,sharpness +3,120,110,40,40,70,0,0
75,76,sharpness +4,120,110,40,40,70,10,0
75,76,sharpness +5,120,110,40,40,70,20,0
76,77,base,60,50,80,60,0,0,0
76,77,sharpness +1,60,50,80,70,0,0,0
76,77,sharpness +2,60,50,80,80,0,0,0
76,77,sharpness +3,60,50,80,90,0,0,0
76,77,sharpness +4,60,50,80,100,0,0,0
76,77,sharpness +5,60,50,80,110,0,0,0
77,78,base,110,20,20,160,40,0,0
77,78,sharpness +1,110,20,20,160,50,0,0
77,78,sharpness +2,110,20,20,160,60,0,0
77,78,sharpness +3,110,20,20,160,70,0,0
77,78,sharpness +4,110,20,20,160,80,0,0
77,78,sharpness +5,110,20,20,160,90,0,0
78,79,base,110,20,20,150,50,0,0
78,79,sharpness +1,110,20,20,150,60,0,0
78,79,sharpness +2,110,20,20,150,70,0,0
78,79,sharpness +3,110,20,20,150,80,0,0
78,79,sharpness +4,110,20,20,150,90,0,0
78,79,sharpness +5,110,20,20,150,100,0,0
79,80,base,110,50,80,60,0,0,0
79,80,sharpness +1,110,50,80,70,0,0,0
79,80,sharpness +2,110,50,80,80,0,0,0
79,80,sharpness +3,110,50,80,90,0,0,0
79,80,sharpness +4,110,50,80,100,0,0,0
79,80,sharpness +5,110,50,80,100,10,0,0
80,81,base,210,30,40,70,0,0,0
80,81,sharpness +1,210,30,40,80,0,0,0
80,81,sharpness +2,210,30,40,90,0,0,0
80,81,sharpness +3,210,30,40,90,10,0,0
80,81,sharpness +4,210,30,40,90,20,0,0
80,81,sharpness +5,210,30,40,90,30,0,0
81,82,base,150,110,40,0,0,0,0
81,82,sharpness +1,150,110,40,10,0,0,0
81,82,sharpness +2,150,110,40,20,0,0,0
81,82,sharpness +3,150,110,40,30,0,0,0
81,82,sharpness +4,150,110,40,40,0,0,0
81,82,sharpness +5,150,110,40,40,10,0,0
82,83,base,140,110,40,10,0,0,0
82,83,sharpness +1,140,110,40,20,0,0,0
82,83,sharpness +2,140,110,40,30,0,0,0
82,83,sharpness +3,140,110,40,40,0,0,0
82,83,sharpness +4,140,110,40,40,10,0,0
82,83,sharpness +5,140,110,40,40,20,0,0
83,84,base,110,60,80,80,20,0,0
83,84,sharpness +1,110,60,80,80,30,0,0
83,84,sharpness +2,110,60,80,80,40,0,0
83,84,sharpness +3,110,60,80,80,50,0,0
83,84,sharpness +4,110,60,80,80,50,10,0
83,84,sharpness +5,110,60,80,80,50,20,0
84,85,base,90,60,80,80,40,0,0
84,85,sharpness +1,90,60,80,80,50,0,0
84,85,sharpness +2,90,60,80,80,60,0,0
84,85,sharpness +3,90,60,80,80,70,0,0
84,85,sharpness +4,90,60,80,80,70,10,0
84,85,sharpness +5,90,60,80,80,70,20,0
85,86,base,130,30,60,80,40,10,0
85,86,sharpness +1,130,30,60,80,40,20,0
85,86,sharpness +2,130,30,60,80,40,30,0
85,86,sharpness +3,130,30,60,80,40,40,0
85,86,sharpness +4,130,30,60,80,40,50,0
85,86,sharpness +5,130,30,60,80,40,60,0
86,87,base,120,120,40,50,20,0,0
86,87,sharpness +1,120,120,40,50,30,0,0
86,87,sharpness +2,120,120,40,50,40,0,0
86,87,sharpness +3,120,120,40,50,50,0,0
86,87,sharpness +4,120,120,40,50,60,0,0
86,87,sharpness +5,120,120,40,50,70,0,0
87,88,base,110,120,40,50,30,0,0
87,88,sharpness +1,110,120,40,50,40,0,0
87,88,sharpness +2,110,120,40,50,50,0,0
87,88,sharpness +3,110,120,40,50,60,0,0
87,88,sharpness +4,110,120,40,50,70,0,0
87,88,sharpness +5,110,120,40,50,80,0,0
88,89,base,100,50,50,0,0,0,0
88,89,sharpness +1,100,50,60,0,0,0,0
88,89,sharpness +2,100,50,70,0,0,0,0
88,89,sharpness +3,100,50,80,0,0,0,0
88,89,sharpness +4,100,50,80,10,0,0,0
88,89,sharpness +5,100,50,80,20,0,0,0
89,90,base,80,70,30,20,0,0,0
89,90,sharpness +1,80,70,30,30,0,0,0
89,90,sharpness +2,80,70,30,40,0,0,0
89,90,sharpness +3,80,70,30,50,0,0,0
89,90,sharpness +4,80,70,30,60,0,0,0
89,90,sharpness +5,80,70,30,70,0,0,0
90,91,base,60,70,30,40,0,0,0
90,91,sharpness +1,60,70,30,50,0,0,0
90,91,sharpness +2,60,70,30,60,0,0,0
90,91,sharpness +3,60,70,30,70,0,0,0
90,91,sharpness +4,60,70,30,80,0,0,0
90,91,sharpness +5,60,70,30,90,0,0,0
91,92,base,80,50,80,40,0,0,0
91,92,sharpness +1,80,50,80,50,0,0,0
91,92,sharpness +2,80,50,80,60,0,0,0
91,92,sharpness +3,80,50,80,70,0,0,0
91,92,sharpness +4,80,50,80,80,0,0,0
91,92,sharpness +5,80,50,80,90,0,0,0
92,93,base,70,50,80,50,0,0,0
92,93,sharpness +1,70,50,80,60,0,0,0
92,93,sharpness +2,70,50,80,70,0,0,0
92,93,sharpness +3,70,50,80,80,0,0,0
92,93,sharpness +4,70,50,80,90,0,0,0
92,93,sharpness +5,70,50,80,100,0,0,0
93,94,base,90,50,50,80,30,0,0
93,94,sharpness +1,90,50,50,80,40,0,0
93,94,sharpness +2,90,50,50,80,50,0,0
93,94,sharpness +3,90,50,50,80,60,0,0
93,94,sharpness +4,90,50,50,80,70,0,0
93,94,sharpness +5,90,50,50,80,80,0,0
94,95,base,70,50,50,80,50,0,0
94,95,sharpness +1,70,50,50,80,60,0,0
94,95,sharpness +2,70,50,50,80,70,0,0
94,95,sharpness +3,70,50,50,80,80,0,0
94,95,sharpness +4,70,50,50,80,90,0,0
94,95,sharpness +5,70,50,50,80,100,0,0
95,96,base,50,60,20,150,70,0,0
95,96,sharpness +1,50,60,20,150,80,0,0
95,96,sharpness +2,50,60,20,150,90,0,0
95,96,sharpness +3,50,60,20,150,90,10,0
95,96,sharpness +4,50,60,20,150,90,20,0
95,96,sharpness +5,50,60,20,150,90,30,0
96,97,base,120,120,40,50,70,0,0
