,id,name,type,damage_type,attack,raw,affinity,total_slots,base_durability,max_durability,elements,element_damage,element_hidden
38,39,Flame Blade 1,great-sword,sever,672,140,10,0,250.0,300.0,fire,120,No
39,40,Flame Blade 2,great-sword,sever,720,150,10,0,300.0,350.0,fire,150,No
40,41,Red Wing,great-sword,sever,768,160,15,1,300.0,350.0,fire,180,No
41,42,Blue Wing,great-sword,sever,816,170,15,1,350.0,400.0,fire,210,No
42,43,Rathalos Glinsword,great-sword,sever,912,190,15,1,350.0,400.0,fire,240,No
43,44,Bone Blade 1,great-sword,sever,480,100,0,0,200.0,250.0,None,0,No
44,45,Bone Blade 2,great-sword,sever,528,110,0,0,200.0,250.0,None,0,No
45,46,Bone Blade 3,great-sword,sever,576,120,0,0,200.0,250.0,None,0,No
46,47,Bone Slasher 1,great-sword,sever,672,140,0,0,250.0,300.0,None,0,No
47,48,Bone Slasher 2,great-sword,sever,720,150,0,0,250.0,300.0,None,0,No
48,49,Bone Slasher 3,great-sword,sever,768,160,0,1,300.0,350.0,ice,180,Yes
49,50,Giant Jawblade 1,great-sword,sever,816,170,0,1,300.0,350.0,ice,240,Yes
50,51,Giant Jawblade 2,great-sword,sever,912,190,0,1,350.0,400.0,ice,300,Yes
51,52,Hazak Kys,great-sword,sever,912,190,0,1,350.0,400.0,dragon,300,No
52,53,Leviathan's Fury,great-sword,sever,960,200,0,1,350.0,400.0,dragon,300,No
53,54,Flammenzahn,great-sword,sever,720,150,0,0,250.0,300.0,fire,240,No
54,55,Flammenzahn+,great-sword,sever,864,180,0,0,300.0,350.0,fire,300,No
55,56,Gnashing Flammenzahn,great-sword,sever,1008,210,0,0,350.0,400.0,fire,480,No
56,57,Aqua Slasher 1,great-sword,sever,576,120,0,0,200.0,250.0,water,120,No
57,58,Aqua Slasher 2,great-sword,sever,624,130,0,0,250.0,300.0,water,150,No
58,59,Aqua Slasher 3,great-sword,sever,672,140,0,0,250.0,300.0,water,180,No
59,60,Water Golem 1,great-sword,sever,768,160,0,1,300.0,350.0,water,240,No
60,61,Water Golem 2,great-sword,sever,816,170,0,1,300.0,350.0,water,270,No
61,62,Water Golem 3,great-sword,sever,912,190,0,1,350.0,400.0,water,300,No
62,63,Carapace Buster 1,great-sword,sever,624,130,0,0,200.0,250.0,None,0,No
63,64,Carapace Buster 2,great-sword,sever,672,140,0,0,250.0,300.0,None,0,No
64,65,Carapace Buster 3,great-sword,sever,720,150,0,0,250.0,300.0,None,0,No
65,66,Barroth Shredder 1,great-sword,sever,816,170,0,1,300.0,350.0,paralysis,270,Yes
66,67,Barroth Shredder 2,great-sword,sever,864,180,0,2,300.0,350.0,paralysis,330,Yes
67,68,Barroth Shredder 3,great-sword,sever,960,200,0,2,350.0,400.0,paralysis,390,Yes
68,69,Spiked Blade 1,great-sword,sever,624,130,0,0,250.0,300.0,sleep,150,No
69,70,Spiked Blade 2,great-sword,sever,672,140,0,0,250.0,300.0,sleep,180,No
70,71,Radobaan Slab 1,great-sword,sever,768,160,0,0,300.0,350.0,sleep,210,No
71,72,Radobaan Slab 2,great-sword,sever,816,170,0,0,300.0,350.0,sleep,240,No
72,73,Radobaan Slab 3,great-sword,sever,912,190,0,0,350.0,400.0,sleep,270,No
73,74,Dragonbone Cleaver 1,great-sword,sever,480,100,0,0,250.0,300.0,dragon,270,No
74,75,Dragonbone Cleaver 2,great-sword,sever,576,120,0,0,250.0,300.0,dragon,330,No
75,76,Dragonbone Cleaver 3,great-sword,sever,768,160,0,2,350.0,400.0,dragon,420,No
76,77,Thundersword,great-sword,sever,528,110,0,0,250.0,300.0,thunder,360,No
77,78,Kirin Thundersword,great-sword,sever,720,150,0,0,350.0,400.0,thunder,480,No
78,79,King Thundersword,great-sword,sever,768,160,0,0,350.0,400.0,thunder,540,No
79,80,Magda Potestas 1,great-sword,sever,768,160,0,1,300.0,350.0,blast,330,No
80,81,Magda Potestas 2,great-sword,sever,1056,220,0,1,350.0,400.0,blast,420,No
81,82,Blacksteel Chopper 1,great-sword,sever,480,100,10,0,300.0,350.0,dragon,90,No
82,83,Blacksteel Chopper 2,great-sword,sever,576,120,10,0,300.0,350.0,dragon,120,No
83,84,Icesteel Edge,great-sword,sever,816,170,0,1,350.0,400.0,ice,210,No
84,85,Daora's Decimator,great-sword,sever,864,180,10,1,350.0,400.0,ice,270,No
85,86,Xeno Maliq,great-sword,sever,816,170,15,2,350.0,400.0,dragon,210,No
86,87,Wyvern Jawblade,great-sword,sever,864,180,0,1,350.0,400.0,blast,240,Yes
87,88,Great Wyvern Jawblade,great-sword,sever,960,200,0,1,350.0,400.0,blast,330,Yes
88,89,Iron Katana 1,long-sword,sever,264,80,0,0,200.0,250.0,None,0,No
89,90,Iron Katana 2,long-sword,sever,297,90,0,0,200.0,250.0,None,0,No
90,91,Iron Katana 3,long-sword,sever,330,100,0,0,200.0,250.0,None,0,No
91,92,Iron Grace 1,long-sword,sever,363,110,0,0,250.0,300.0,None,0,No
92,93,Iron Grace 2,long-sword,sever,429,130,0,0,250.0,300.0,None,0,No
93,94,Iron Grace 3,long-sword,sever,462,140,0,1,300.0,350.0,water,120,Yes
94,95,Iron Gospel 1,long-sword,sever,528,160,0,1,300.0,350.0,water,150,Yes
95,96,Iron Gospel 2,long-sword,sever,594,180,0,2,350.0,400.0,water,180,Yes
96,97,Nergal Reaver,long-sword,sever,627,190,0,1,400.0,400.0,dragon,90,No
97,98,Extermination's Edge,long-sword,sever,693,210,0,1,400.0,400.0,dragon,120,No
98,99,Flickering Glow 1,long-sword,sever,429,130,0,0,250.0,300.0,None,0,No
99,100,Flickering Glow 2,long-sword,,462,140,0,0,250.0,300.0,None,0,No
100,101,Dazzling Flash 1,long-sword,sever,528,160,0,1,300.0,350.0,thunder,240,Yes
101,102,Dazzling Flash 2,long-sword,sever,561,170,0,1,300.0,350.0,thunder,300,Yes
102,103,Dazzling Flash 3,long-sword,sever,594,180,0,1,350.0,400.0,thunder,360,Yes
103,104,First Dance 1,long-sword,sever,330,100,15,0,200.0,250.0,None,0,No
104,105,First Dance 2,long-sword,sever,363,110,15,0,250.0,300.0,None,0,No
105,106,First Dance 3,long-sword,sever,429,130,15,0,250.0,300.0,None,0,No
106,107,Last Dance 1,long-sword,sever,495,150,20,0,300.0,350.0,sleep,210,Yes
107,108,Last Dance 2,long-sword,sever,528,160,20,0,300.0,350.0,sleep,240,Yes
108,109,Last Dance 3,long-sword,sever,561,170,20,0,350.0,400.0,sleep,270,Yes
109,110,Brazenridge 1,long-sword,sever,594,180,0,1,300.0,350.0,fire,90,No
110,111,Brazenridge 2,long-sword,sever,660,200,0,2,350.0,400.0,fire,120,No
111,112,"Wyvern Blade ""Leaf""",long-sword,sever,363,110,10,0,250.0,300.0,poison,240,No
112,113,"Wyvern Blade ""Verde""",long-sword,sever,495,150,10,1,300.0,350.0,poison,270,No
113,114,"Wyvern Blade ""Holly""",long-sword,sever,627,190,10,1,350.0,400.0,poison,330,No
114,115,"Wyvern Blade ""Fall""",long-sword,sever,396,120,15,0,250.0,300.0,fire,150,No
115,116,"Wyvern Blade ""Blood""",long-sword,sever,528,160,15,1,300.0,350.0,fire,180,No
116,117,"Wyvern Blade ""Azure""",long-sword,sever,561,170,15,1,350.0,400.0,fire,210,No
117,118,"Wyvern Blade ""Indigo""",long-sword,sever,627,190,15,1,350.0,400.0,fire,240,No
118,119,Bone Shotel 1,long-sword,sever,297,90,0,0,200.0,250.0,None,0,No
119,120,Bone Shotel 2,long-sword,sever,330,100,0,0,200.0,250.0,None,0,No
120,121,Bone Shotel 3,long-sword,sever,396,120,0,0,200.0,250.0,None,0,No
121,122,Hard Bone Shotel 1,long-sword,sever,429,130,0,0,250.0,300.0,None,0,No
122,123,Hard Bone Shotel 2,long-sword,sever,495,150,0,0,250.0,300.0,None,0,No
123,124,Hard Bone Shotel 3,long-sword,sever,528,160,0,1,300.0,350.0,sleep,210,Yes
124,125,Bone Reaper 1,long-sword,sever,627,190,0,1,300.0,350.0,sleep,270,Yes
125,126,Bone Reaper 2,long-sword,,627,190,0,1,350.0,400.0,sleep,270,Yes
126,127,Rookslayer Long Sword,long-sword,sever,561,170,0,2,300.0,350.0,blast,150,No
127,128,Bazel Varga Rookslayer,long-sword,sever,660,200,0,2,350.0,400.0,blast,210,No
128,129,Blazing Shotel 1,long-sword,sever,462,140,0,0,250.0,300.0,fire,150,No
129,130,Blazing Shotel 2,long-sword,sever,528,160,0,0,250.0,300.0,fire,210,No
130,131,Anja Scimitar 1,long-sword,sever,594,180,0,0,300.0,350.0,fire,270,No
131,132,Anja Scimitar 2,long-sword,sever,660,200,0,0,300.0,350.0,fire,330,No
132,133,Anja Scimitar 3,long-sword,sever,693,210,0,0,350.0,400.0,fire,390,No
133,134,Jyura Shotel 1,long-sword,sever,396,120,0,0,200.0,250.0,water,150,No
134,135,Jyura Shotel 2,long-sword,sever,429,130,0,0,250.0,300.0,water,180,No
135,136,Jyura Shotel 3,long-sword,sever,462,140,0,0,250.0,300.0,water,210,No
136,137,Dipterus 1,long-sword,sever,495,150,0,1,300.0,350.0,water,240,No
137,138,Dipterus 2,long-sword,sever,561,170,0,1,300.0,350.0,water,300,No
138,139,Dipterus 3,long-sword,sever,627,190,0,1,350.0,400.0,water,360,No
139,140,Hazak Grosser 1,long-sword,sever,627,190,0,1,350.0,400.0,dragon,210,No
140,141,Hazak Grosser 2,long-sword,sever,660,200,0,1,350.0,400.0,dragon,270,No
141,142,Pulsar Shotel 1,long-sword,sever,363,110,10,0,200.0,250.0,thunder,120,No
142,143,Pulsar Shotel 2,long-sword,sever,396,120,10,0,250.0,300.0,thunder,150,No
143,144,Pulsar Shotel 3,long-sword,sever,462,140,10,0,250.0,300.0,thunder,180,No
144,145,Kadachi Fang 1,long-sword,sever,528,160,15,1,300.0,350.0,thunder,210,No
145,146,Kadachi Fang 2,long-sword,sever,561,170,15,1,300.0,350.0,thunder,240,No
146,147,Kadachi Fang 3,long-sword,sever,594,180,15,1,350.0,400.0,thunder,270,No
147,148,Glacial Shotel 1,long-sword,sever,429,130,0,0,250.0,300.0,ice,210,No
148,149,Glacial Shotel 2,long-sword,sever,462,140,0,0,300.0,350.0,ice,240,No
149,150,Stealer,long-sword,sever,495,150,0,0,300.0,350.0,ice,300,No
150,151,Legia Stealer,long-sword,sever,528,160,0,0,350.0,400.0,ice,360,No
151,152,Dark Shotel 1,long-sword,sever,396,120,0,0,250.0,300.0,None,0,No
152,153,Dark Shotel 2,long-sword,sever,429,130,0,0,250.0,300.0,None,0,No
153,154,Dark Scimitar 1,long-sword,sever,462,140,0,1,300.0,350.0,paralysis,180,Yes
154,155,Dark Scimitar 2,long-sword,sever,495,150,0,1,300.0,350.0,paralysis,210,Yes
155,156,Dark Scimitar 3,long-sword,sever,528,160,0,1,350.0,400.0,paralysis,240,Yes
156,157,Dragonbone Stabber 1,long-sword,sever,330,100,0,0,250.0,300.0,dragon,270,No
157,158,Dragonbone Stabber 2,long-sword,sever,363,110,0,0,250.0,300.0,dragon,330,No
158,159,Dragonbone Stabber 3,long-sword,sever,528,160,0,1,350.0,400.0,dragon,420,No
159,160,Magda Facultas 1,long-sword,sever,528,160,0,1,300.0,350.0,blast,300,No
160,161,Magda Facultas 2,long-sword,sever,726,220,0,1,350.0,400.0,blast,360,No
161,162,Blacksteel Long Sword 1,long-sword,sever,330,100,0,0,300.0,350.0,dragon,120,No
162,163,Blacksteel Long Sword 2,long-sword,sever,363,110,0,0,300.0,350.0,dragon,150,No
163,164,Imperial Saber,long-sword,sever,561,170,0,0,350.0,400.0,blast,300,No
164,165,Imperial Shimmer,long-sword,sever,627,190,0,0,350.0,400.0,blast,300,No
165,166,Xeno Cypher,long-sword,sever,594,180,15,2,350.0,400.0,dragon,180,No
166,167,Supremacy Blade,long-sword,sever,561,170,0,1,300.0,350.0,dragon,120,Yes
167,168,Divine Slasher,long-sword,sever,693,210,0,1,350.0,400.0,dragon,150,Yes
168,169,Azure Star Blade,long-sword,sever,363,110,20,0,350.0,400.0,water,120,No
169,170,Hunter's Knife 1,sword-and-shield,sever,112,80,0,0,200.0,250.0,None,0,No
170,171,Hunter's Knife 2,sword-and-shield,sever,126,90,0,0,200.0,250.0,None,0,No
171,172,Hunter's Knife 3,sword-and-shield,sever,140,100,0,0,200.0,250.0,None,0,No
172,173,Steel Knife 1,sword-and-shield,sever,168,120,0,0,250.0,300.0,None,0,No
173,174,Steel Knife 2,sword-and-shield,sever,182,130,0,0,250.0,300.0,None,0,No
174,175,Steel Knife 3,sword-and-shield,sever,196,140,0,1,300.0,350.0,sleep,120,Yes
175,176,Chrome Slicer 1,sword-and-shield,sever,224,160,0,1,300.0,350.0,sleep,150,Yes
176,177,Chrome Slicer 2,sword-and-shield,sever,252,180,0,2,350.0,400.0,sleep,240,Yes
177,178,Nergal Jack,sword-and-shield,sever,280,200,0,1,400.0,400.0,dragon,120,No
178,179,Eradication Vanguard,sword-and-shield,sever,294,210,0,1,400.0,400.0,dragon,150,No
179,180,Flame Knife 1,sword-and-shield,sever,182,130,10,0,250.0,300.0,fire,120,No
180,181,Flame Knife 2,sword-and-shield,sever,196,140,10,1,300.0,350.0,fire,120,No
181,182,Heat Edge,sword-and-shield,sever,224,160,20,1,300.0,350.0,fire,150,No
182,183,Corona,sword-and-shield,sever,266,190,20,1,350.0,400.0,fire,180,No
183,184,Heavy Bang,sword-and-shield,sever,210,150,0,0,250.0,300.0,None,0,No
184,185,Heavy Bang+,sword-and-shield,sever,252,180,0,1,300.0,350.0,thunder,270,Yes
185,186,Master Bang,sword-and-shield,sever,280,200,0,1,350.0,400.0,thunder,330,Yes
186,187,Aqua Messer 1,sword-and-shield,sever,140,100,0,0,200.0,250.0,water,90,No
187,188,Aqua Messer 2,sword-and-shield,sever,168,120,0,0,250.0,300.0,water,120,No
188,189,Aqua Messer 3,sword-and-shield,sever,196,140,0,0,250.0,300.0,water,150,No
189,190,Rogue Wave 1,sword-and-shield,sever,210,150,0,1,300.0,350.0,water,180,No
190,191,Rogue Wave 2,sword-and-shield,sever,224,160,0,1,300.0,350.0,water,210,No
191,192,Rogue Wave 3,sword-and-shield,sever,252,180,0,1,350.0,400.0,water,240,No
192,193,Glacial Grace 1,sword-and-shield,sever,182,130,0,0,250.0,300.0,ice,210,No
193,194,Glacial Grace 2,sword-and-shield,sever,196,140,0,1,300.0,350.0,ice,240,No
194,195,Rimespire,sword-and-shield,sever,210,150,0,1,300.0,350.0,ice,300,No
195,196,Legia Rimespire,sword-and-shield,sever,224,160,0,1,350.0,400.0,ice,330,No
196,197,Princess Rapier,sword-and-shield,sever,168,120,10,0,250.0,300.0,poison,150,No
197,198,Queen Rapier,sword-and-shield,sever,210,150,10,1,300.0,350.0,poison,180,No
198,199,Queen Rose,sword-and-shield,sever,238,170,10,1,300.0,350.0,poison,210,No
199,200,Royal Rose,sword-and-shield,sever,266,190,10,1,350.0,400.0,poison,240,No
200,201,Lumu Knife 1,sword-and-shield,sever,168,120,0,0,250.0,300.0,None,0,No
201,202,Lumu Knife 2,sword-and-shield,sever,182,130,0,0,250.0,300.0,None,0,No
202,203,Lumu Tabar 1,sword-and-shield,sever,210,150,0,2,300.0,350.0,blast,270,Yes
203,204,Lumu Tabar 2,sword-and-shield,sever,224,160,0,2,300.0,350.0,blast,300,Yes
204,205,Lumu Tabar 3,sword-and-shield,sever,238,170,0,2,350.0,400.0,blast,330,Yes
205,206,Blooming Knife 1,sword-and-shield,sever,154,110,0,0,200.0,250.0,poison,210,No
206,207,Blooming Knife 2,sword-and-shield,sever,182,130,0,0,250.0,300.0,poison,240,No
207,208,Blooming Knife 3,sword-and-shield,sever,196,140,0,0,250.0,300.0,poison,270,No
208,209,Datura Blossom 1,sword-and-shield,sever,210,150,0,2,300.0,350.0,poison,330,No
209,210,Datura Blossom 2,sword-and-shield,sever,224,160,0,2,300.0,350.0,poison,360,No
210,211,Datura Blossom 3,sword-and-shield,sever,238,170,0,2,350.0,400.0,poison,390,No
211,212,Girros Knife 1,sword-and-shield,sever,168,120,10,0,250.0,300.0,paralysis,120,No
212,213,Girros Knife 2,sword-and-shield,sever,182,130,10,0,250.0,300.0,paralysis,150,No
213,214,Malady's Tabar 1,sword-and-shield,sever,196,140,20,0,300.0,350.0,paralysis,180,No
214,215,Malady's Tabar 2,sword-and-shield,sever,210,150,20,0,300.0,350.0,paralysis,210,No
215,216,Malady's Tabar 3,sword-and-shield,sever,224,160,20,0,350.0,400.0,paralysis,240,No
216,217,Bone Kukri 1,sword-and-shield,sever,140,100,0,0,200.0,250.0,None,0,No
217,218,Bone Kukri 2,sword-and-shield,sever,154,110,0,0,200.0,250.0,None,0,No
218,219,Bone Kukri 3,sword-and-shield,sever,168,120,0,0,200.0,250.0,None,0,No
219,220,Chief Kukri 1,sword-and-shield,sever,196,140,0,0,250.0,300.0,None,0,No
220,221,Chief Kukri 2,sword-and-shield,sever,210,150,0,0,250.0,300.0,None,0,No
221,222,Chief Kukri 3,sword-and-shield,sever,224,160,0,1,300.0,350.0,paralysis,180,Yes
222,223,Grand Barong 1,sword-and-shield,sever,238,170,0,1,300.0,350.0,paralysis,240,Yes
223,224,Grand Barong 2,sword-and-shield,sever,266,190,0,1,350.0,400.0,paralysis,300,Yes
224,225,Spiked Edge 1,sword-and-shield,sever,182,130,0,0,250.0,300.0,sleep,120,No
225,226,Spiked Edge 2,sword-and-shield,sever,196,140,0,0,250.0,300.0,sleep,120,No
226,227,Baan Claw 1,sword-and-shield,sever,238,170,0,0,300.0,350.0,sleep,150,No
227,228,Baan Claw 2,sword-and-shield,sever,252,180,0,0,300.0,350.0,sleep,180,No
228,229,Baan Claw 3,sword-and-shield,sever,266,190,0,0,350.0,400.0,sleep,210,No
229,230,Jagras Edge 1,sword-and-shield,sever,168,120,0,0,200.0,250.0,None,0,No
230,231,Jagras Edge 2,sword-and-shield,sever,196,140,0,0,250.0,300.0,None,0,No
231,232,Jagras Edge 3,sword-and-shield,sever,210,150,0,0,250.0,300.0,None,0,No
232,233,Jagras Garotte 1,sword-and-shield,sever,238,170,0,2,300.0,350.0,water,300,Yes
233,234,Jagras Garotte 2,sword-and-shield,sever,252,180,0,2,300.0,350.0,water,330,Yes
234,235,Jagras Garotte 3,sword-and-shield,sever,266,190,0,2,350.0,400.0,water,360,Yes
235,236,Thunder Edge 1,sword-and-shield,sever,182,130,0,0,250.0,300.0,thunder,90,No
236,237,Thunder Edge 2,sword-and-shield,sever,210,150,0,0,250.0,300.0,thunder,120,No
237,238,Lightning Nemesis 1,sword-and-shield,sever,224,160,0,1,300.0,350.0,thunder,150,No
238,239,Lightning Nemesis 2,sword-and-shield,sever,252,180,0,1,300.0,350.0,thunder,180,No
239,240,Lightning Nemesis 3,sword-and-shield,sever,266,190,0,1,350.0,400.0,thunder,210,No
240,241,Carapace Edge 1,sword-and-shield,sever,182,130,0,0,200.0,250.0,None,0,No
241,242,Carapace Edge 2,sword-and-shield,sever,196,140,0,0,250.0,300.0,None,0,No
242,243,Carapace Edge 3,sword-and-shield,sever,224,160,0,0,250.0,300.0,None,0,No
243,244,Barroth Club 1,sword-and-shield,sever,252,180,0,1,300.0,350.0,paralysis,120,Yes
244,245,Barroth Club 2,sword-and-shield,sever,266,190,0,2,300.0,350.0,paralysis,150,Yes
245,246,Barroth Club 3,sword-and-shield,sever,294,210,0,2,350.0,400.0,paralysis,180,Yes
246,247,Blazing Edge 1,sword-and-shield,sever,196,140,0,0,250.0,300.0,fire,150,No
247,248,Blazing Edge 2,sword-and-shield,sever,224,160,0,0,250.0,300.0,fire,180,No
248,249,Flammensucher,sword-and-shield,sever,266,190,0,0,300.0,350.0,fire,210,No
249,250,Gnashing Flammensucher,sword-and-shield,sever,294,210,0,0,350.0,400.0,fire,240,No
250,251,Dragonbone Sword 1,sword-and-shield,sever,140,100,0,0,250.0,300.0,dragon,270,No
251,252,Dragonbone Sword 2,sword-and-shield,sever,154,110,0,0,250.0,300.0,dragon,330,No
252,253,Dragonbone Sword 3,sword-and-shield,sever,196,140,0,1,350.0,400.0,dragon,450,No
253,254,Fulminator,sword-and-shield,sever,154,110,0,0,250.0,300.0,thunder,270,No
254,255,Thunderbolt Sword 1,sword-and-shield,sever,210,150,0,0,350.0,400.0,thunder,300,No
255,256,Thunderbolt Sword 2,sword-and-shield,sever,224,160,0,0,350.0,400.0,thunder,360,No
256,257,Blacksteel Sword 1,sword-and-shield,sever,140,100,0,0,300.0,350.0,dragon,120,No
257,258,Blacksteel Sword 2,sword-and-shield,sever,154,110,0,0,300.0,350.0,dragon,150,No
258,259,Teostra's Spada,sword-and-shield,sever,252,180,0,0,350.0,400.0,blast,210,No
259,260,Teostra's Emblem,sword-and-shield,sever,266,190,0,0,350.0,400.0,blast,240,No
260,261,Xeno Mabura,sword-and-shield,sever,238,170,15,2,350.0,400.0,dragon,270,No
261,262,Matched Slicers 1,dual-blades,sever,112,80,0,0,200.0,250.0,None,0,No
262,263,Matched Slicers 2,dual-blades,sever,126,90,0,0,200.0,250.0,None,0,No
263,264,Matched Slicers 3,dual-blades,sever,140,100,0,0,200.0,250.0,None,0,No
264,265,Dual Slicers 1,dual-blades,sever,154,110,0,0,250.0,300.0,None,0,No
265,266,Dual Slicers 2,dual-blades,sever,196,140,0,1,250.0,300.0,poison,210,Yes
266,267,Dual Slicers 3,dual-blades,,196,140,0,1,300.0,350.0,poison,210,Yes
267,268,Chrome Slicers 1,dual-blades,sever,224,160,0,1,300.0,350.0,poison,240,Yes
268,269,Chrome Slicers 2,dual-blades,sever,252,180,0,2,350.0,400.0,poison,270,Yes
269,270,Nergal Gouge,dual-blades,sever,280,200,0,1,400.0,400.0,dragon,90,No
270,271,Decimation Claws,dual-blades,sever,294,210,0,1,400.0,400.0,dragon,120,No
271,272,Luminous Daggers 1,dual-blades,sever,168,120,0,0,250.0,300.0,None,0,No
272,273,Luminous Daggers 2,dual-blades,sever,196,140,0,0,250.0,300.0,None,0,No
273,274,Dual Destroyers 1,dual-blades,sever,224,160,0,1,300.0,350.0,thunder,120,Yes
274,275,Dual Destroyers 2,dual-blades,sever,238,170,0,1,300.0,350.0,thunder,150,Yes
275,276,Dual Destroyers 3,dual-blades,sever,252,180,0,1,350.0,400.0,thunder,210,Yes
276,277,Rookslayer Handaxes,dual-blades,sever,252,180,0,1,300.0,350.0,blast,120,No
277,278,Bazelhawk Rookslayer,dual-blades,sever,280,200,0,1,350.0,400.0,blast,150,No
278,279,Freeze Daggers 1,dual-blades,sever,182,130,0,0,250.0,300.0,ice,60,No
279,280,Freeze Daggers 2,dual-blades,sever,210,150,0,1,300.0,350.0,ice,90,No
280,281,Freeze Chain 1,dual-blades,sever,238,170,0,1,300.0,350.0,ice,120,No
281,282,Freeze Chain 2,dual-blades,sever,252,180,0,1,350.0,400.0,ice,150,No
282,283,Rending Beaks 1,dual-blades,sever,154,110,15,0,200.0,250.0,None,0,No
283,284,Rending Beaks 2,dual-blades,sever,168,120,15,0,250.0,300.0,None,0,No
284,285,Rending Beaks 3,dual-blades,sever,182,130,15,0,250.0,300.0,None,0,No
285,286,Arcanaria 1,dual-blades,sever,210,150,20,0,300.0,350.0,sleep,90,Yes
286,287,Arcanaria 2,dual-blades,sever,224,160,20,0,300.0,350.0,sleep,90,Yes
287,288,Arcanaria 3,dual-blades,sever,238,170,20,0,350.0,400.0,sleep,120,Yes
288,289,Sworn Rapiers,dual-blades,sever,182,130,0,0,250.0,300.0,water,90,No
289,290,Sworn Rapiers+,dual-blades,sever,210,150,0,1,300.0,350.0,water,90,No
290,291,Holy Sabers,dual-blades,sever,252,180,0,1,350.0,400.0,water,120,No
291,292,Bone Hatchets 1,dual-blades,sever,140,100,0,0,200.0,250.0,None,0,No
292,293,Bone Hatchets 2,dual-blades,sever,154,110,0,0,200.0,250.0,None,0,No
293,294,Bone Hatchets 3,dual-blades,sever,168,120,0,0,200.0,250.0,None,0,No
294,295,Wild Hatchets 1,dual-blades,sever,196,140,0,0,250.0,300.0,None,0,No
295,296,Wild Hatchets 2,dual-blades,sever,210,150,0,0,250.0,300.0,None,0,No
296,297,Wild Hatchets 3,dual-blades,sever,224,160,0,1,300.0,350.0,blast,120,Yes
