id,name,image,description,affinity,skill
17f69748b38l0hznb7t11snt2v6e5to,Ash Of War: Bloody Slash,https://eldenring.fanapis.com/images/ashes/17f69748b38l0hznb7t11snt2v6e5to.png,"This Ash of War grants an armament the Blood affinity and the following skill:""Bloody Slash: Bloody Oath skill granted by the Lord of Blood. From a low stance, coat the blade in your own blood to unleash a rending blood slash in a wide arc.""Usable on swords (colossal weapons excepted)",Blood,Bloody Slash
17f69972a78l0hznb8uihn419g6mja,Ash Of War: Carian Greatsword,https://eldenring.fanapis.com/images/ashes/17f69972a78l0hznb8uihn419g6mja.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Greatsword: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power.""Usable on swords (colossal weapons excepted).",Magic,Carian Greatsword
17f6920fe70l0hznbb7s5p9luh70kn,Ash Of War: Carian Grandeur,https://eldenring.fanapis.com/images/ashes/17f6920fe70l0hznbb7s5p9luh70kn.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Grandeur: Carian royal prestige embodied in a skill. Transform blade into a magical greatsword and swing it down. Can be charged to increase its power by up to two levels.""Usable on swords (colossal weapons excepted).",Magic,Carian Grandeur
17f691ce52el0hznbb8jlg0tc6t0dm,Ash Of War: Carian Retaliation,https://eldenring.fanapis.com/images/ashes/17f691ce52el0hznbb8jlg0tc6t0dm.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Carian Retaliation: Swing the shield to dispel incoming sorceries and incantations, transforming the magic into retaliatory glintblades. Can also be used in the same way as a regular parry.""Usable on small and medium shields.",Magic,Carian Retaliation
17f69877351l0hznbcbt6uafsjw6at,Ash Of War: Blood Tax,https://eldenring.fanapis.com/images/ashes/17f69877351l0hznbcbt6uafsjw6at.png,"This Ash of War grants an armament the Blood affinity and the following skill:""Blood Tax: Blood Oath skill granted by the Lord of Blood. Twist to build power, then unleash a flurry of thrusts that rob the target of both their blood and their HP.""Usable on armaments capable of thrusting(colossal weapons excepted).",Blood,Blood Tax
17f6997d2f3l0hznbknjad2nj3vw6,Ash Of War: Charge Forth,https://eldenring.fanapis.com/images/ashes/17f6997d2f3l0hznbknjad2nj3vw6.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Charge Forth: Quickly charge forward with the armament at the hip, carrying the momentum into a thrust. Hold to cover a greater distance.""Usable on polearms capable of thrusting, heavy thrusting swords, and twinblades.",Quality,Charge Forth
17f69632b47l0hznbo20nfz1jomqp0m,Ash Of War: Chilling Mist,https://eldenring.fanapis.com/images/ashes/17f69632b47l0hznbo20nfz1jomqp0m.png,"This Ash of War grants an armament the Cold affinity and the following skill:""Chilling Mist: Coat armament in frost, and then slash, spreading frigid mist forwards. The armament retains its frost for a while.""Usable on melee armaments (whips, fists, and claws excepted).",Cold,Chilling Mist
17f699c39abl0hznbvtaua60bridg,Ash Of War: Cragblade,,"This Ash of War grants an armament the Heavy affinity and the following skill:""Cragblade: Skill that manipulates gravity. Bury the armament in the ground, pulling rocks from the earth to reinforce it. Increases attack power and makes it easier to break enemy stance.""Usable on melee armaments (whips excepted).",Heavy,Cragblade
17f69718726l0hznc4a52929rfg1aw,Ash Of War: Double Slash,https://eldenring.fanapis.com/images/ashes/17f69718726l0hznc4a52929rfg1aw.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Double Slash:Skill of superior swordsmen. Perform a crossing slash attack from a low stance. Repeated inputs allow for up to two follow-up attacks.""Usable on swords and polearms capable of slashing (colossal weapons excepted).",Keen,Double Slash
17f69473c75l0hznc4u7wv3mae45bn,Ash Of War: Determination,https://eldenring.fanapis.com/images/ashes/17f69473c75l0hznc4u7wv3mae45bn.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Determination: A knightly skill. Hold the flat of the armament to your face and pledge your resolve, powering up your next attack.""Usable on all melee armaments.",Quality,Determination
17f69a8f14bl0hznc9h9qokr7i72zg,Ash Of War: Earthshaker,,"This Ash of War grants an armament the Heavy affinity and the following skill:""Earthshaker: Thrust armament into the ground, then gather strength to unleash an earth-shaking shockwave. Follow up with a strong attack to swing the armament in a sweeping strike.""Usable on greataxes, warhammers, and colossal weapons.",Heavy,Earthshaker
17f6920c27el0hzncahvte5m3xhhws,Ash Of War: Enchanted Shot,https://eldenring.fanapis.com/images/ashes/17f6920c27el0hzncahvte5m3xhhws.png,"This ash of war grants no affinity to an armament, but imparts the following skill:""Enchanted Shot: Archery skill that enlivens the arrow with spiritual essence. The resulting shot will fly faster than regular shots and change its trajectory to follow the target.""Usable on light bows and longbows.",Standard,Enchanted Shot
17f69a074b6l0hzncbpisvienjm7,Ash Of War: Endure,https://eldenring.fanapis.com/images/ashes/17f69a074b6l0hzncbpisvienjm7.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Endure: Assume an anchored stance to brace for incoming attacks, briefly boosting poise. Damage taken while using this skill is reduced.""Usable on all melee armaments.",Heavy,Endure
17f69a3b29al0hzncgekzv3o1qoaml,Ash Of War: Eruption,https://eldenring.fanapis.com/images/ashes/17f69a3b29al0hzncgekzv3o1qoaml.png,"This Ash of War grants an armament the Fire affinity and the following skill:""Eruption: Skill of the knights who serve at Volcano Manor. Slam armament into the ground, spawning roiling lava which spouts up upon release.""Usable on large and colossal swords, axes, and hammers.",Fire,Eruption
17f696f88b7l0hzncoms7ors9s5xn8,Ash Of War: Flame Of The Redmanes,,"This Ash of War grants an armament the Fire affinity and the following skill:""Flame of the Redmanes: Skill of the Redmanes, who fought alongside General Radahn. Produce a powerful burst of flames in a wide frontward arc.""Usable on all melee armaments.",Fire,Flame of the Redmanes
17f69717cc3l0hzncvopzfk4mhxexm,Ash Of War: Flaming Strike,https://eldenring.fanapis.com/images/ashes/17f69717cc3l0hzncvopzfk4mhxexm.png,"This Ash of War grants an armament the Fire affinity and the following skill:""Flaming Strike: Skill that emits flame in a wide frontward arc. Follow up with a strong attack to perform a lunging, sweeping strike. This will also coat the armament in fire.""Usable on melee armaments (colossal weapons and whips excepted).",Fire,Flaming Strike
17f696839ebl0hznd4efk9q3sfn90t,Ash Of War: Golden Land,https://eldenring.fanapis.com/images/ashes/17f696839ebl0hznd4efk9q3sfn90t.png,"Thrust armament into the ground, then gather strength to unleash a blast of sacred energy that coalesces into golden darts. Follow up with a strong attack to swing the armament in a sweeping strike",Sacred,Golden Land
17f69124253l0hznd58kalvsnumdfs,Ash Of War: Glintblade Phalanx,https://eldenring.fanapis.com/images/ashes/17f69124253l0hznd58kalvsnumdfs.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Glintblade Phalanx: Skill used by the enchanted knights who served the Carian royal family. Form an arch of magic glintblades overhead, which will attack Foes automatically. Follow up with a strong attack to chain this skill into a lunging thrust.""Usable on swords as well as polearms capable of thrusting (colossal weapons excepted).",Magic,Glintblade Phalanx
17f69318912l0hzndcxhadx37qie0d,Ash Of War: Glintstone Pebble,https://eldenring.fanapis.com/images/ashes/17f69318912l0hzndcxhadx37qie0d.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Glintstone Pebble: Skill that employs the glintstone sorcery of the same name. Follow up with a strong attack to chain this skill into a lunging thrust, performed while the armament is still imbued with glintstone.""Usable on swords as well as polearms capable of thrusting (colossal weapons excepted).",Magic,Glintstone Pebble Skill
17f69350c54l0hzndgv6rnmsmeuovl,Ash Of War: Giant Hunt,https://eldenring.fanapis.com/images/ashes/17f69350c54l0hzndgv6rnmsmeuovl.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Giant Hunt: Skill developed for confronting gigantic foes. Step forward from a low stance, carrying the momentum into a sudden upward thrust.""Usable on large and colossal weapons capable of thrusting, spears and twinblades.",Quality,Giant Hunt
17f698a21ael0hzndhz5rzpbq6s2kr,Ash Of War: Golden Parry,,"This Ash of War grants an armament the Sacred affinity and the following skill:""Golden Parry: Perform an Erdtree incantation and swing the shield to deflect enemy attacks and break their stance. Effective even at a slight distance.""Usable on small and medium shields.",Sacred,Golden Parry
17f697fa0abl0hzndk8ckmkt1uwa8c,Ash Of War: Golden Slam,https://eldenring.fanapis.com/images/ashes/17f697fa0abl0hzndk8ckmkt1uwa8c.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Golden Slam: Skill of the avatars who protect Minor Erdtrees. Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends golden shockwaves in all directions.""Usable on all melee armaments.",Sacred,Golden Slam
17f69351ab5l0hzndrisc8jnkt6cio,Ashes Of War: Golden Vow,https://eldenring.fanapis.com/images/ashes/17f69351ab5l0hzndrisc8jnkt6cio.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Golden Vow: Skill passed down from antiquity among the knights of the capital. Raise armament aloft and pledge to honor the Erdtree in battle, granting self and nearby allies increased attack power and defense.""Usable on all melee armaments.",Sacred,Golden Vow
17f691ddaael0hzndtkuqlxj0gi37d,Ash Of War: Gravitas,https://eldenring.fanapis.com/images/ashes/17f691ddaael0hzndtkuqlxj0gi37d.png,This Ash of War grants an armament the Magic affinity and the following Skill:Gravitas A Skill from a great white king with stone skin.Pierce the ground with your armament to damage foes as a surge of gravity draws them in.It can be used on melee armaments that are not small.,Magic,Gravitas
17f694e769dl0hzndwlq2qilmdrv3j,Ash Of War: Ground Slam,https://eldenring.fanapis.com/images/ashes/17f694e769dl0hzndwlq2qilmdrv3j.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Ground Slam: Jump up high into the air and crash down on the ground ahead. The resulting pratfall sends a powerful shockwave in all directions.""Usable on all melee armaments.",Heavy,Ground Slam
17f693bc341l0hzndy1cxubyy4g0bq,Ash Of War: Hoarah Loux's Earthshaker,https://eldenring.fanapis.com/images/ashes/17f693bc341l0hzndy1cxubyy4g0bq.png,"This Ash of War grants an armament the Heavy and the following skill:""Hoarah Loux's Earthshaker: Slam both hands onto the ground to violently shake the earth and unleash a shockwave. Follow up with an additional input to slam the ground again.""Usable on all melee armaments.",Heavy,Hoarah Loux's Earthshaker
17f698e1b7fl0hznea0kg0jfvuo96,Ash Of War: Holy Ground,https://eldenring.fanapis.com/images/ashes/17f698e1b7fl0hznea0kg0jfvuo96.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Holy Ground: Raise shield to create an Erdtree-consecrated area that continuously restores HP and boosts defense for self and allies inside it.""Usable on all shields.",Sacred,Holy Ground
17f692fc3aal0hzneh25vt285rpane,Ash Of War: Hoarfrost Stomp,https://eldenring.fanapis.com/images/ashes/17f692fc3aal0hzneh25vt285rpane.png,"This Ash of War grants an armament the Cold affinity and the following skill:""Hoarfrost Stomp: Stomp hard to spread a trail of freezing mist on the ground. The mist applies the frost status effect.""Usable on all melee armaments.",Cold,Hoarfrost Stomp
17f69609053l0hzneinqfv4xxlqvhj,Ash Of War: Ice Spear,https://eldenring.fanapis.com/images/ashes/17f69609053l0hzneinqfv4xxlqvhj.png,"This Ash of War grants an armament the Cold affinity and the following skill:""Ice Spear: Skill of the warriors who served Lunar Princess Ranni. Spin armament to release cold magic, then channel it into a piercing spear of ice.""",Cold,Ice Spear
17f69a64ff1l0hzneows1ewhajkkgh,Ash Of War: Impaling Thrust,https://eldenring.fanapis.com/images/ashes/17f69a64ff1l0hzneows1ewhajkkgh.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Impaling Thrust: Skill that lets piercing armaments overcome enemy shields. Build power, then lunge forward for a strong thrust that pierces an enemy's guard.""Usable on armaments capable of thrusting (colossal weapons excepted).",Keen,Impaling Thrust
17f69700932l0hznetfa5h21htw70m,Ash Of War: Kick,https://eldenring.fanapis.com/images/ashes/17f69700932l0hznetfa5h21htw70m.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Kick: Push an enemy back with a high kick. Effective against enemies who are guarding, and can break a foe's stance. Sometimes a simple tool is the most effective.""Usable on all melee armaments.",Heavy,Kick
17f69a62d88l0hzneyzvq5fyjnottm,Ash Of War: Lightning Ram,https://eldenring.fanapis.com/images/ashes/17f69a62d88l0hzneyzvq5fyjnottm.png,"This Ash of War grants an armament the Lightning affinity and the following skill:""Lightning Ram: Skill inspired by tumbling rams. Let out a bleat, then tumble forwards, clad in lightning. Tumbles can be repeated in rapid succession.""Usable on all melee armaments.",Lightning,Lightning Ram
17f692df771l0hznf03p274erwk98h,Ash Of War: Lightning Slash,https://eldenring.fanapis.com/images/ashes/17f692df771l0hznf03p274erwk98h.png,"This Ash of War grants an armament the Lightning affinity and the following skill:""Lightning Slash: Call down a bolt of lightning into armament, then swing it down to create an explosive shock. The armament retains the lightning enchantment for a while.""Usable on swords, axes, and hammers.",Lightning,Lightning Slash
17f696bfa3bl0hznf6k0etmzqb06tl9,Ash Of War: Lifesteal Fist,https://eldenring.fanapis.com/images/ashes/17f696bfa3bl0hznf6k0etmzqb06tl9.png,"This Ash of War grants an armament the Occult affinity and the following skill:""Lifesteal Fist: Skill that demonstrates mastery of the art of controlling vital energies.A slow, controlled punch with an energy-infused fist that renders foes unconscious and steals their HP. Only effective against foes of human build.""Usable on fists and claws.",Occult,Lifesteal Fist
17f69a31a8al0hznf908v1nxqoxy0e,Ash Of War: Lion's Claw,https://eldenring.fanapis.com/images/ashes/17f69a31a8al0hznf908v1nxqoxy0e.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Lion's Claw: Skill of the Redmanes, who fought alongside General Radahn. Somersault forwards, striking foes with armament.""Usable on swords, axes, and hammers (small armaments and thrusting swords excepted).",Heavy,Lion's Claw
17f69a32673l0hznfbappm2n51jcv,Ash Of War: Loretta's Slash,https://eldenring.fanapis.com/images/ashes/17f69a32673l0hznfbappm2n51jcv.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Loretta's Slash: Skill of Loretta the Royal Knight. Leap forward, imbuing the blade with glintstone, then descend, accelerating into a sweeping slash.""Usable on polearms and twinblades.",Magic,Loretta's Slash
17f69325755l0hznfv4s2ciqdltjtq,Ash Of War: Mighty Shot,https://eldenring.fanapis.com/images/ashes/17f69325755l0hznfv4s2ciqdltjtq.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Mighty Shot: Archery skill performed from an oblique stance. Ready the bow, then pull the bowstring to its limit to enhance the power of the shot, penetrating the enemy's guard.""Usable on light bows and longbows.",Standard,Mighty Shot
17f697ede6el0hzng0czebz0gl42f,Ash Of War: No Skill,https://eldenring.fanapis.com/images/ashes/17f697ede6el0hzng0czebz0gl42f.png,"This Ash of War grants no affinity to an armament and replaces any skill present with the following:""No skill: This armament has no skill. If the armament in the other hand has a skill, that skill will be used instead.""Usable on shields and torches.",Standard,
17f69a087c2l0hzng49rzvczvag1p,Ash Of War: Piercing Fang,https://eldenring.fanapis.com/images/ashes/17f69a087c2l0hzng49rzvczvag1p.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Piercing Fang: Skill used by Yura, the Bloody Finger Hunter. Starting with the blade held horizontally, make a powerful thrust that cannot be blocked.""Usable on medium and large armaments capable of thrusting.",Keen,Piercing Fang
17f6992b87dl0hzng4xdj3kj5y9j56,Ash Of War: Parry,https://eldenring.fanapis.com/images/ashes/17f6992b87dl0hzng4xdj3kj5y9j56.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Parry: Use this skill in time with a foe's melee attack to deflect it and break that foe's stance. This provides an opening to perform a critical hit.""Usable on daggers, curved swords, thrusting swords, fists, claws, and small and medium shields.",Standard,Parry Skill
17f69449189l0hzng7hu2ig878ohic,Ash Of War: Poisonous Mist,https://eldenring.fanapis.com/images/ashes/17f69449189l0hzng7hu2ig878ohic.png,"This Ash of War grants an armament the Poison affinity and the following skill:""Poisonous Mist: Bathe armament in poison, and then slash, spreading toxic mist forwards. The armament retains its poison for a while.""Usable on melee armaments (whips, fists, and claws excepted).",Poison,Poisonous Mist
17f697b4d33l0hzng9g0bop6lam24gp,Ash Of War: Prayerful Strike,https://eldenring.fanapis.com/images/ashes/17f697b4d33l0hzng9g0bop6lam24gp.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Prayerful Strike: Raise armament aloft in prayer, then slam it into the ground. This inspired blow restores HP to the self and nearby allies if it successfully hits.""Usable on axes and hammers.",Sacred,Prayerful Strike
17f6932a2d8l0hzngb251bqvfmqy2,Ash Of War: Phantom Slash,https://eldenring.fanapis.com/images/ashes/17f6932a2d8l0hzngb251bqvfmqy2.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Phantom Slash: Skill inspired by the fond remembrances of the Night's Cavalry. Creates an apparition of the knights' former instructor who guides a joint lunging upward swing. Additional input allows for a follow-up attack.""Usable on polearms and twinblades (great spears excepted).",Quality,Phantom Slash
17f69742e0fl0hzngchtcvdl4bok5h,Ash Of War: Poison Moth Flight,https://eldenring.fanapis.com/images/ashes/17f69742e0fl0hzngchtcvdl4bok5h.png,"This Ash of War grants an armament the Poison affinity and thefollowing skill:""Poison Moth Flight: Slash with a poison-infused blade. If thefollow-up strike lands on a poisoned foe, it will deal significantdamage.""Usable on small and medium swords (twinblades excepted).",Poison,Poison Moth Flight
17f692c7232l0hzngn8rlhloj6d81g,Ash Of War: Quickstep,https://eldenring.fanapis.com/images/ashes/17f692c7232l0hzngn8rlhloj6d81g.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Quickstep: Skill prized by the crafty and fleet of foot.Perform a quickstep maneuver that allows for circling around lock-on targets.""Usable on all melee armaments.",Keen,Quickstep
17f69295181l0hznh0xinc6xftw9ba,Ash Of War: Raptor Of The Mists,https://eldenring.fanapis.com/images/ashes/17f69295181l0hznh0xinc6xftw9ba.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Raptor of the Mists: Duck into a low stance, momentarily vanishing. If an enemy attack connects, avian wings will allow for a quick escape into the air.""Usable on all melee armaments.",Keen,Raptor of the Mists
17f693d5026l0hznh18sc9evm9dy7,Ash Of War: Rain Of Arrows,https://eldenring.fanapis.com/images/ashes/17f693d5026l0hznh18sc9evm9dy7.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Rain of Arrows: Archery skill performed from a low stance. Ready the bow, then fire a burst of arrows into the sky to shower the enemy with projectiles.""Usable on all bows.",Standard,Rain of Arrows
17f694bd57dl0hznh3df4y3fmzs47,Ash Of War: Repeating Thrust,https://eldenring.fanapis.com/images/ashes/17f694bd57dl0hznh3df4y3fmzs47.png,"This Ash of War grants an armament the Keen affinity and the following Skill:Repeating Thrust Twist to build power, then unleash a flurry of thrusts.This Skill takes some time to build up, but it is very powerful.It can be used on all thrusting armaments.",Keen,Repeating Thrust
17f6932e7ccl0hznh41483furh3gwl,Ash Of War: Royal Knight's Resolve,https://eldenring.fanapis.com/images/ashes/17f6932e7ccl0hznh41483furh3gwl.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Royal Knight's Resolve: Skill of the knights who once served the Elden Lord. Hold the flat of the armament to your face and pledge your resolve, greatly powering up your next attack.""Usable on all melee armaments.",Quality,Royal Knight's Resolve
17f697367f8l0hznh85n59iw24a9cs,Ash Of War: Sacred Ring Of Light,https://eldenring.fanapis.com/images/ashes/17f697367f8l0hznh85n59iw24a9cs.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Sacred Ring of Light: Skill used by the commanders of the Cleanrot Knights. Gather a sacred ring of light in the armament, and then fire it forwards. Can be fired in rapid succession.""Usable on polearms (great spears excepted).",Sacred,Sacred Ring of Light
17f6926fae4l0hznh93w8eu63gg5a,Ash Of War: Sacred Blade,https://eldenring.fanapis.com/images/ashes/17f6926fae4l0hznh93w8eu63gg5a.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Sacred Blade: Grants armament's attacks holy essence and fires off a golden blade projectile. The armament retains its holy essence for awhile.""Usable on all melee armaments (whips, fists, and claws excepted).",Sacred,Sacred Blade
17f69494c37l0hznhbbgk88jc3uz5o,Ash Of War: Sacred Order,https://eldenring.fanapis.com/images/ashes/17f69494c37l0hznhbbgk88jc3uz5o.png,"This Ash of War grants an armament the Sacred affinity and the following skill:""Sacred Order: Skill of the Golden Order fundamentalist knights. Perform a salute and grant the armament holy essence. Highly effective against Those Who Live in Death.""Usable on all melee armaments.",Sacred,Sacred Order
17f69835c8el0hznhgxliq172h0mb,Ash Of War: Seppuku,https://eldenring.fanapis.com/images/ashes/17f69835c8el0hznhgxliq172h0mb.png,"This Ash of War grants an armament the Blood and the following skill:""Seppuku: A forbidden technique used by swordsmen from the Land of Reeds. Plunge the blade into your stomach to stain it with blood. Increases attack power and improves ability to inflict blood loss.""Usable on swords as well as polearms capable of thrusting (small and colossal weapons excepted).",Blood,Seppuku
17f69368b21l0hzni1ub97dix6no65,Ash Of War: Spinning Strikes,https://eldenring.fanapis.com/images/ashes/17f69368b21l0hzni1ub97dix6no65.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Spinning Strikes: Polearm skill that performs continuous spinning attacks. Hold to continue the attack. Can be followed up with a normal or strong attack. Nullifies projectiles such as arrows while spinning.""Usable on polearms (great spears excepted).",Quality,Spinning Strikes
17f69a61881l0hzni3itnz1oxlbfz,Ash Of War: Shield Crash,https://eldenring.fanapis.com/images/ashes/17f69a61881l0hzni3itnz1oxlbfz.png,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Shield Crash: Two-hand the shield and charge forwards while maintaining guard. Weaker enemies will be shoved backwards and can even be staggered. Hold to extend the duration of the charge forwards.""Usable on all shields.",Standard,Shield Crash
17f6974700al0hzni4it3sh1bwmn4c,Ash Of War: Spinning Slash,https://eldenring.fanapis.com/images/ashes/17f6974700al0hzni4it3sh1bwmn4c.png,"This Ash of War grants an armament the Keen affinity and the following skill:""Spinning Slash: Skill favored by dexterous warriors. Slash foes as your body spins. Additional input allows for a follow-up attack.""Usable on swords, axes, and polearms (colossal weapons excepted).",Keen,Spinning Slash
17f6926182el0hzni6gy8lu3ewebgc,Ash Of War: Spectral Lance,https://eldenring.fanapis.com/images/ashes/17f6926182el0hzni6gy8lu3ewebgc.png,"This Ash of War grants an armament the Occult affinity and the following skill:""Spectral Lance: Skill of the headless Mausoleum Knights. Hurl a phantasmic spear at foes.""Usable on polearms (reapers excepted).",Occult,Spectral Lance
17f695e6f65l0hzni7f6oo2ih1csuu,Ash Of War: Spinning Weapon,https://eldenring.fanapis.com/images/ashes/17f695e6f65l0hzni7f6oo2ih1csuu.png,"This Ash of War grants an armament the Magic affinity and the following skill:""Spinning Weapon: Defensive skill employed by Carian princesses. Lifts armament into mid-air, then makes it spin violently. Those it touches will suffer successive attacks.""Usable on small and medium swords, axes, and hammers, as well as polearms and staves (great spears excepted)",Magic,Spinning Weapon
17f694d3942l0hzni7obhdodn7w1sf,Ash Of War: Square Off,https://eldenring.fanapis.com/images/ashes/17f694d3942l0hzni7obhdodn7w1sf.png,"This Ash of War grants an armament the Quality affinity and the following skill:""Square Off: This skill starts with the sword held level. Follow up with a normal attack to slash upwards through enemy's guard, or a strong attack to perform a running thrust""Usable on straight swords.",Quality,Square Off
17f694a9a1cl0hznib028gwf1bodgy,Ash Of War: Shield Bash,,"This Ash of War grants no affinity to an armament, but imparts the following skill:""Shield Bash: Brace behind shield before using bodyweight to ram foes while maintaining guarding stance. Weaker enemies will be shoved backwards, and can even be staggered.""Usable on all shields.",Standard,Shield Bash
17f69615628l0hznicfne35ba3ux6k,Ash Of War: Stamp (sweep),https://eldenring.fanapis.com/images/ashes/17f69615628l0hznicfne35ba3ux6k.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Stamp (Sweep): Brace armament and step into a low stance that prevents recoil from most enemy attacks. Follow up with a strong attack for a sweeping strike""Usable on swords, axes, and hammers (small and medium swords excepted)",Heavy,Stamp (Sweep)
17f699c60e7l0hzniu3lqezpf8qd1p,Ash Of War: Stamp (upward Cut),https://eldenring.fanapis.com/images/ashes/17f699c60e7l0hzniu3lqezpf8qd1p.png,"This Ash of War grants an armament the Heavy affinity and the following skill:""Stamp (Upward Cut): Brace armament and step into a low stance that prevents recoil from most enemy attacks. Follow up with a strong attack for an upward strike.""Usable on swords, axes, and hammers, (small and medium swords excepted).",Heavy,Stamp (Upward Cut)
