id,name,image,description,type,effect,obtainedFrom
17f69717335l0i1z1ugb9kk8smactr,Small Golden Effigy,https://eldenring.fanapis.com/images/items/17f69717335l0i1z1ugb9kk8smactr.png,"Online multiplayer item. Sends a summon sign for cooperative multiplayer to a nearby summoning pool. In cooperative multiplayer, you will be summoned to another world to help defeat the area boss.",Reusable,Send co-operative sign to summoning pool,
17f69aab07al0i1z1ujum0v02t4lr,Small Red Effigy,https://eldenring.fanapis.com/images/items/17f69aab07al0i1z1ujum0v02t4lr.png,"Item for online play. Sends a competitive sign to a nearby summoning pool. In competitive multiplayer, your objective will be to defeat the Host of Fingers of the world to which you were summoned.",Reusable,Sends competitive sign to summoning pool,
17f69ae7f2cl0i1z1vi2pn3lxnbuv1,Festering Bloody Finger,https://eldenring.fanapis.com/images/items/17f69ae7f2cl0i1z1vi2pn3lxnbuv1.png,Item for online play.,Consumable,Attempts invasion of other player's world,
17f69ac860fl0i1z2dnysa6pbi4pu,Smithing Stone [3],https://eldenring.fanapis.com/images/items/17f69ac860fl0i1z2dnysa6pbi4pu.png,Stone used to smith a variety of armaments. A particularly hard specimen.,Misc,Reinforce armaments up to +9.,
17f695e1877l0i1z2esul0ltnftrn,Smithing Stone [2],https://eldenring.fanapis.com/images/items/17f695e1877l0i1z2esul0ltnftrn.png,"Stone used to smith a variety of armaments. A large shard found in plenty. Strengthens armaments up to +6. Smithing stone is found throughout the Lands Between, and mining galleries built to excavate it can be found everywhere",Misc,Reinforce armaments up to +6.,
17f69bee3a7l0i1z2fc6lkodwqn7x3,Smithing Stone [4],https://eldenring.fanapis.com/images/items/17f69bee3a7l0i1z2fc6lkodwqn7x3.png,Stone used to smith a variety of armaments. A large and particularly hard specimen.,Misc,Reinforce armaments up to +12.,
17f695d4f2el0i1z2y303232bvbqcsm,Smithing Stone [5],https://eldenring.fanapis.com/images/items/17f695d4f2el0i1z2y303232bvbqcsm.png,"Stone used to smith a variety of armamemnts. A rare specimen, it is tinged with gold.",Misc,Reinforce armaments up to +15.,
17f6973188al0i1z2yq2dinoi6bw1s,Smithing Stone [7],https://eldenring.fanapis.com/images/items/17f6973188al0i1z2yq2dinoi6bw1s.png,"Stone used to smith a variey of armaments. Found in a polar region, it is semi-vitrified.",Misc,Reinforce armaments up to +21.,
17f697b82e2l0i1z2zbvgg37zujx7h,Smithing Stone [6],https://eldenring.fanapis.com/images/items/17f697b82e2l0i1z2zbvgg37zujx7h.png,"Stone used to smith a variety of armaments. A larger rare specimen, it is tinged with gold.",Misc,Reinforce armaments up to +18.,
17f69ce5a34l0i1z3ghagihivxr1l8,Smithing Stone [8],https://eldenring.fanapis.com/images/items/17f69ce5a34l0i1z3ghagihivxr1l8.png,"Stone used to smith a variety of armaments. Found in a polar region, it is semi-vitrified",Misc,Reinforce armaments up to +24.,
17f69575078l0i1z3hvssftszqfcdc,Ancient Dragon Smithing Stone,https://eldenring.fanapis.com/images/items/17f69575078l0i1z3hvssftszqfcdc.png,"Smithing stone made polishing a golden Gravel Stone. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula",Misc,Reinforce armamanets to +25,
17f699e3818l0i1z3py7vre05m7hde,Somber Smithing Stone [1],https://eldenring.fanapis.com/images/items/17f699e3818l0i1z3py7vre05m7hde.png,Shard of smithing stone drained of color. Strengthens special armaments to +1. Special armements with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment.,Misc,Reinforce special armaments to +1.,
17f69557171l0i1z41hmz7jh3lkd3r,Somber Smithing Stone [2],https://eldenring.fanapis.com/images/items/17f69557171l0i1z41hmz7jh3lkd3r.png,Large shard of smithing stone drained of color. Strengthens special armaments to +2. Special armements with unique characteristics cannot be strengthened with colored smithing stones. Number of steps and amount strengthened differ from standard equipment.,Misc,Reinforce special armaments to +2.,
17f698e70cfl0i1z46kcgxebtfpmk9,Somber Smithing Stone [4],https://eldenring.fanapis.com/images/items/17f698e70cfl0i1z46kcgxebtfpmk9.png,Large hard smithing stone drained of color.,Misc,Reinforce special armaments to +4.,
17f69955de5l0i1z49nehfqmj45gnf,Somber Smithing Stone [3],https://eldenring.fanapis.com/images/items/17f69955de5l0i1z49nehfqmj45gnf.png,Hard smithing stone drained of color.,Misc,Reinforce special armaments to +3.,
17f69d2531dl0i1z4jsm5titqsarvk,Somber Smithing Stone [5],https://eldenring.fanapis.com/images/items/17f69d2531dl0i1z4jsm5titqsarvk.png,Gold smithing stone drained of color.,Misc,Reinforce special armaments to +5.,
17f69a51074l0i1z4pallnm7f1pi2,Somber Smithing Stone [6],https://eldenring.fanapis.com/images/items/17f69a51074l0i1z4pallnm7f1pi2.png,Large gold smithing stone drained of color.,Misc,Reinforce special armaments to +6.,
17f69ae2e0el0i1z4s9cuuv3okbw3,Somber Smithing Stone [7],https://eldenring.fanapis.com/images/items/17f69ae2e0el0i1z4s9cuuv3okbw3.png,Polar smithing stone drained of color.,Misc,Reinforce special armaments to +7.,
17f69c9d615l0i1z5a6lrzcg89z4st,Somber Smithing Stone [9],https://eldenring.fanapis.com/images/items/17f69c9d615l0i1z5a6lrzcg89z4st.png,Ancient smithing stone drained of color,Misc,Reinforce special armaments to +9.,
17f69e30537l0i1z5d38vjwm2mnuun,Somber Ancient Dragon Smithing Stone,https://eldenring.fanapis.com/images/items/17f69e30537l0i1z5d38vjwm2mnuun.png,"Ancient dragonrock smithing stone drained of color. A scale of the Ancient Dragonlord, and hidden treasure of Farum Azula.",Misc,Reinforce special armaments to +10,
17f69bd53b9l0i1z5eu0n5wz5ntzp4,Recusant Finger,https://eldenring.fanapis.com/images/items/17f69bd53b9l0i1z5eu0n5wz5ntzp4.png,Item for online play.,Consumable,Attempts invasion of other player's world,
17f69c09b3fl0i1z5i8s4czdm29hd,Smithing Stone [1],https://eldenring.fanapis.com/images/items/17f69c09b3fl0i1z5i8s4czdm29hd.png,Stone used to smith a variety of armaments. A shard found in plenty.,Misc,Reinforce armaments up to +3.,
17f6962abacl0i1z5t9om2a1tau3gk,Grave Glovewort [1],https://eldenring.fanapis.com/images/items/17f6962abacl0i1z5t9om2a1tau3gk.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits. Strengthens ashes to +1. The art of strengthening ashes is known as spirit tuning. only a spirit tuner may perform this deed.,Misc,Strengthen ashes to +1.,
17f6968996al0i1z5x4u91mr8eawhi,Grave Glovewort [2],https://eldenring.fanapis.com/images/items/17f6968996al0i1z5x4u91mr8eawhi.png,"White flower that blooms in catacombs. Each a soundless bell used to summon spirits. Strengthens ashes to +2. Spirit tuning is not merely the simple act of imbuing strength. It is an art that lies somewhere between tuning an instrument and conducting a conversation, leaving both parties enriched.",Misc,Strengthen ashes to +2.,
17f69d99dcal0i1z5xb44ygddyj8ph,Grave Glovewort [3],https://eldenring.fanapis.com/images/items/17f69d99dcal0i1z5xb44ygddyj8ph.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthen ashes to +3,
17f69be8c68l0i1z60n8krxbcmu5lh,Grave Glovewort [4],https://eldenring.fanapis.com/images/items/17f69be8c68l0i1z60n8krxbcmu5lh.png,White flower that blooms in catacombs. Each soundless bell used to summon spirits.,Misc,Strengthens ashes to +4,
17f6950a8a2l0i1z6dbq0oi9fi4kl,Grave Glovewort [5],https://eldenring.fanapis.com/images/items/17f6950a8a2l0i1z6dbq0oi9fi4kl.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthens ashes to +5,
17f6959b3eal0i1z6gieqkdipn6qdw,Grave Glovewort [7],https://eldenring.fanapis.com/images/items/17f6959b3eal0i1z6gieqkdipn6qdw.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthens ashes to +7,
17f69846a4fl0i1z6ghc5th9zqh3c,Grave Glovewort [6],https://eldenring.fanapis.com/images/items/17f69846a4fl0i1z6ghc5th9zqh3c.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthens ashes to +6,
17f695e071dl0i1z6jeqn98zpx0tw,Grave Glovewort [8],https://eldenring.fanapis.com/images/items/17f695e071dl0i1z6jeqn98zpx0tw.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthens ashes to +8,
17f69550850l0i1z6ttayiwnk136e7,Grave Glovewort [9],https://eldenring.fanapis.com/images/items/17f69550850l0i1z6ttayiwnk136e7.png,White flower that blooms in catacombs. Each a soundless bell used to summon spirits.,Misc,Strengthens ashes to +9,
17f6983e8a7l0i1z70f50kbxtxa1we,Ghost Glovewort [2],https://eldenring.fanapis.com/images/items/17f6983e8a7l0i1z70f50kbxtxa1we.png,White flower that blooms in catacombs. A spirit nestles close to it.,Misc,Strengthen renowned ashes to +2,
17f69ab06d7l0i1z78pkil3bve557,Great Grave Glovewort,https://eldenring.fanapis.com/images/items/17f69ab06d7l0i1z78pkil3bve557.png,White flower that blooms in catacombs. An especially large specimen.,Misc,Strengthens ashes to +10,
17f69d7e3b1l0i1z7a3m84mb5vo2mp,Ghost Glovewort [1],https://eldenring.fanapis.com/images/items/17f69d7e3b1l0i1z7a3m84mb5vo2mp.png,White flower that blooms in catacombs. A spirit nestles close to it. Strengthens renowned ashes to +1. Ashes which keep their renown even after death cannot be strengthened by merely corporal glovewort.,Misc,Strengthens renowned ashes to +1.,
17f6989521fl0i1z7e7voj3cl6foma,Ghost Glovewort [3],https://eldenring.fanapis.com/images/items/17f6989521fl0i1z7e7voj3cl6foma.png,White flower that blooms in catacombs. A spirit nestles close it.,Misc,Strengthen renowned ashes to +3,
17f695bf162l0i1z7hktcp73asrcps,Ghost Glovewort [4],https://eldenring.fanapis.com/images/items/17f695bf162l0i1z7hktcp73asrcps.png,White flower that blooms in catacombs. A spirit nestles close to it.,Misc,Strengthen renowned ashes to +4,
17f69d3fc22l0i1z7svk9t9mb26sha,Ghost Glovewort [5],https://eldenring.fanapis.com/images/items/17f69d3fc22l0i1z7svk9t9mb26sha.png,White flower that blooms in catacombs. A spirit nestles close to it.,Misc,Strengthen renowned ashes to +5,
17f69baadd3l0i1z87ddphdbju5ve,Ghost Glovewort [7],https://eldenring.fanapis.com/images/items/17f69baadd3l0i1z87ddphdbju5ve.png,White flower that blooms in catacombs.,Misc,Strengthens renowned ashes to +7,
17f69900ffcl0i1z8d2nt7ic89ll99,Ghost Glovewort [8],https://eldenring.fanapis.com/images/items/17f69900ffcl0i1z8d2nt7ic89ll99.png,White flower that blooms in catacombs.,Misc,Stengthened renowed ashes to +8,
17f69ddcb7bl0i1z8k1ng5vrva9zl,Ghost Glovewort [6],https://eldenring.fanapis.com/images/items/17f69ddcb7bl0i1z8k1ng5vrva9zl.png,White flower that blooms in catacombs. A spirit nestles close to it.,Misc,Strengthens renowned ashes to +6,
17f69a7b6cel0i1z8mdm78yqop5r9s,Ghost Glovewort [9],https://eldenring.fanapis.com/images/items/17f69a7b6cel0i1z8mdm78yqop5r9s.png,White flower that blooms in catacombs.  A spirit nestles close to it.,Misc,Stengthened renowed ashes to +9,
17f69a3148al0i1z8zpm2kxo9k7tsb,Great Ghost Glovewort,https://eldenring.fanapis.com/images/items/17f69a3148al0i1z8zpm2kxo9k7tsb.png,White flower that blooms in catacombs. A spirit nestles close to this grand specimen.,Misc,Strengthens renowned ashes to +10,
17f698d84c6l0i1z9j88aqgzk91xi,Armorer's Cookbook [2],https://eldenring.fanapis.com/images/items/17f698d84c6l0i1z9j88aqgzk91xi.png,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular.,Misc,Expands crafting repertoire,
17f6973b0dfl0i1z9j8z53v119vieb,Armorer's Cookbook [3],https://eldenring.fanapis.com/images/items/17f6973b0dfl0i1z9j8z53v119vieb.png,A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular.,Misc,Expands crafting repertoire,
17f69580265l0i1z9ldv7cl2ik9fj,Armorer's Cookbook [4],https://eldenring.fanapis.com/images/items/17f69580265l0i1z9ldv7cl2ik9fj.png,A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular.,Misc,Expands crafting repertoire,
17f695b03bcl0i1z9pei7soclm9rrb,Armorer's Cookbook [1],https://eldenring.fanapis.com/images/items/17f695b03bcl0i1z9pei7soclm9rrb.png,Record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with decay; the application of fire in particular.,Misc,Expands crafting repertoire,
17f69d9a17el0i1za4u32e9vwk8fod,Armorer's Cookbook [5],https://eldenring.fanapis.com/images/items/17f69d9a17el0i1za4u32e9vwk8fod.png,A record of crafting techniques left by an armorer who served the great general Radahn. Contains knowledge of dealing with rot; the application of fire in particular. Acquire the knowledge to craft the following: - Immunizing Cured Meat - Immunizing White Cured Meat,Misc,Expands crafting repertoire,
17f6964fe20l0i1za7f9d49sepjq0m,Armorer's Cookbook [6],https://eldenring.fanapis.com/images/items/17f6964fe20l0i1za7f9d49sepjq0m.png,A record of crafting techniques left by an armorer who served the great general Radahn.,Misc,Expands crafting repertoire,
17f69648c8cl0i1za89md3xfqou70r,Armorer's Cookbook [7],https://eldenring.fanapis.com/images/items/17f69648c8cl0i1za89md3xfqou70r.png,A record of crafting techniques left by an armorer who served the great general Radahn.,Misc,Expands crafting repertoire,
17f69e36ce5l0i1zab98x6rqsnkacj,Fevor's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69e36ce5l0i1zab98x6rqsnkacj.png,"Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings.",Misc,Expands crafting repertoire,
17f69d428c1l0i1zanj5zzei2c67ey,Fevor's Cookbook [2],https://eldenring.fanapis.com/images/items/17f69d428c1l0i1zanj5zzei2c67ey.png,"Record of crafting techniques left by a man who was denied the path of becoming a Finger Maiden. He instead became a missionary, spreading holy teachings.",Misc,Expands crafting repertoire,
17f69b54da8l0i1zarwlosa6oatghm,Missionary's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69b54da8l0i1zarwlosa6oatghm.png,"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings.",Misc,Expands crafting repertoire,
17f696be910l0i1zb6pflfp474bc8t,Missionary's Cookbook [3],https://eldenring.fanapis.com/images/items/17f696be910l0i1zb6pflfp474bc8t.png,"A record of crafting techniques left by a man who, unable to",Misc,Expands crafting repertoire,
17f696c4efbl0i1zbbjda4qxmf8kzc,Missionary's Cookbook [4],https://eldenring.fanapis.com/images/items/17f696c4efbl0i1zbbjda4qxmf8kzc.png,"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: -Holy Grease -Drawstring Holy Grease -Haligbone Arrow -Haligbone Arrow (Fletched) -Haligbone Bolt",Misc,Expands crafting repertoire,
17f69c220f9l0i1zbcayfdgzc5yh2k,Missionary's Cookbook [5],https://eldenring.fanapis.com/images/items/17f69c220f9l0i1zbcayfdgzc5yh2k.png,"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings.",Misc,Expands crafting repertoire,
17f69b599fbl0i1zbpzd0gjsxcjbp9,Somber Smithing Stone [8],https://eldenring.fanapis.com/images/items/17f69b599fbl0i1zbpzd0gjsxcjbp9.png,Large polar smithing stone drained of color.,Misc,Reinforce special armaments to +8.,
17f6961bfa3l0i1zbvsgmyyg8a7as7,Missionary's Cookbook [7],https://eldenring.fanapis.com/images/items/17f6961bfa3l0i1zbvsgmyyg8a7as7.png,"A record of crafting techniques left by a man who, unable to become a Finger Maiden, instead became a missionary, and went forth to spread holy teachings. Acquire the knowledge to craft the following: -Rejuvenating Boluces",Misc,Expands crafting repertoire,
17f69af7badl0i1zbxm0vgkl5hrbpb,Deserter's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69af7badl0i1zbxm0vgkl5hrbpb.png,A fugitive deserter's record of crafting techniques. Contains knowledge for surviving in the face of utter scarcity.,Expands crafting repertoire,,
17f69d94b09l0i1zca6dbwhl4hzv3,Deserter's Cookbook [2],https://eldenring.fanapis.com/images/items/17f69d94b09l0i1zca6dbwhl4hzv3.png,A fugitive deserter's record of crafting techniques. Contains knowledge for surviving in the face of utter scarcity.,Expands crafting repertoire,,
17f699cc01dl0i1zcfxbtac79ecrh9,Nomadic Warrior's Cookbook [1],https://eldenring.fanapis.com/images/items/17f699cc01dl0i1zcfxbtac79ecrh9.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f698f3124l0i1zcgfoaub4hhz5c,Nomadic Warrior's Cookbook [2],https://eldenring.fanapis.com/images/items/17f698f3124l0i1zcgfoaub4hhz5c.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f6977f601l0i1zcudmlqwbhxvxlg,Nomadic Warrior's Cookbook [3],https://eldenring.fanapis.com/images/items/17f6977f601l0i1zcudmlqwbhxvxlg.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f6966acccl0i1zd18qqiub6s1ytp,Nomadic Warrior's Cookbook [5],https://eldenring.fanapis.com/images/items/17f6966acccl0i1zd18qqiub6s1ytp.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f6988025el0i1zd1qoym326hibp8,Nomadic Warrior's Cookbook [4],https://eldenring.fanapis.com/images/items/17f6988025el0i1zd1qoym326hibp8.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f69ce4214l0i1zd7ncu58jp3qh2d,Nomadic Warrior's Cookbook [6],https://eldenring.fanapis.com/images/items/17f69ce4214l0i1zd7ncu58jp3qh2d.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f6957d138l0i1zddedaluxtisiod,Nomadic Warrior's Cookbook [7],https://eldenring.fanapis.com/images/items/17f6957d138l0i1zddedaluxtisiod.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,Misc,Expands crafting repertoire,
17f69535af1l0i1zdkjerpcqovjl5s,Nomadic Warrior's Cookbook [9],https://eldenring.fanapis.com/images/items/17f69535af1l0i1zdkjerpcqovjl5s.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,Misc,Expands crafting repertoire,
17f69b034fdl0i1zdqd6d630e0zg57,Nomadic Warrior's Cookbook [10],https://eldenring.fanapis.com/images/items/17f69b034fdl0i1zdqd6d630e0zg57.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Stormwing Bone Arrow,Misc,Expands crafting repertoire,
17f698ea0a5l0i1zdvil6p7p73nqco,Nomadic Warrior's Cookbook [11],https://eldenring.fanapis.com/images/items/17f698ea0a5l0i1zdvil6p7p73nqco.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f69c5fc0fl0i1ze224rq2oxc9r49,Nomadic Warrior's Cookbook (12),https://eldenring.fanapis.com/images/items/17f69c5fc0fl0i1ze224rq2oxc9r49.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Cursed-Blood Pots,Misc,Expands crafting repertoire,
17f69a93cc2l0i1ze8stwtckka37bd,Nomadic Warrior's Cookbook [13],https://eldenring.fanapis.com/images/items/17f69a93cc2l0i1ze8stwtckka37bd.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,Misc,Expands crafting repertiore,
17f69cf9bd0l0i1zec4cc7daag8e6w,Nomadic Warrior's Cookbook [14],https://eldenring.fanapis.com/images/items/17f69cf9bd0l0i1zec4cc7daag8e6w.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f698fdea2l0i1zeqb3eyjn1dbptq,Fevor's Cookbook [3],https://eldenring.fanapis.com/images/items/17f698fdea2l0i1zeqb3eyjn1dbptq.png,A record of crafting techniques left by a man who was utterly captivated by St. Trina. He continued the search for her in his slumber. Acquire the knowledge to craft the following: - Bewitching Branch,Misc,Expands crafting repertoire,
17f6996b11el0i1zevwdyb7l44ds8u,Nomadic Warrior's Cookbook [16],https://eldenring.fanapis.com/images/items/17f6996b11el0i1zevwdyb7l44ds8u.png,A record of crafting techniques left by nomad warriors.,Misc,Expands crafting repertoire,
17f69ac6809l0i1zex4m9c2k1sz6qb,Nomadic Warrior's Cookbook [15],https://eldenring.fanapis.com/images/items/17f69ac6809l0i1zex4m9c2k1sz6qb.png,A record of crafting techniques left by nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,Misc,Expands crafting repertoire,
17f6998506bl0i1zf11urklhzx6yy,Nomadic Warrior's Cookbook [17],https://eldenring.fanapis.com/images/items/17f6998506bl0i1zf11urklhzx6yy.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f6980d0c8l0i1zf5catnqhzzcq4d,Nomadic Warrior's Cookbook [8],https://eldenring.fanapis.com/images/items/17f6980d0c8l0i1zf5catnqhzzcq4d.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f696a2658l0i1zfdy9wqeumcm1p5,Nomadic Warrior's Cookbook [18],https://eldenring.fanapis.com/images/items/17f696a2658l0i1zfdy9wqeumcm1p5.png,A record of crafting techniques left by roaming nomad warriors.,Misc,Expands crafting repertoire,
17f69e20663l0i1zfivaz2gkciocs,Nomadic Warrior's Cookbook (19),https://eldenring.fanapis.com/images/items/17f69e20663l0i1zfivaz2gkciocs.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity.,Misc,Expands crafting repertoire,
17f697ce7a2l0i1zfkaqx67yaqq3in,Nomadic Warrior's Cookbook [20],https://eldenring.fanapis.com/images/items/17f697ce7a2l0i1zfkaqx67yaqq3in.png,A record of crafting techniques left by nomad warriors.,Misc,Expands crafting repertoire,
17f69de8f6el0i1zfmu2hggk0w6xoe,Nomadic Warrior's Cookbook [21],https://eldenring.fanapis.com/images/items/17f69de8f6el0i1zfmu2hggk0w6xoe.png,A record of crafting techniques left by nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Alluring Pot,Misc,Expands crafting repertoire,
17f69d22004l0i1zg3o0zd1cmdml6u,Nomadic Warrior's Cookbook [24],https://eldenring.fanapis.com/images/items/17f69d22004l0i1zg3o0zd1cmdml6u.png,A record of crafting techniques left by nomad warriors.,Misc,Expands crafting repertoire,
17f69e461dfl0i1zg4jldt4yjnoys,Glintstone Craftsman's Cookbook [1],https://eldenring.fanapis.com/images/items/17f69e461dfl0i1zg4jldt4yjnoys.png,"A record of crafting techniques left by a glintstone craftsman who served the academy. Contains information on ""faux sorceries,""such as they were called.",Misc,Expands crafting repertoire,
17f69b0fee6l0i1zg4tyg6lrae4tbe,Glintstone Craftsman's Cookbook [2],https://eldenring.fanapis.com/images/items/17f69b0fee6l0i1zg4tyg6lrae4tbe.png,A record of crafting techniques left by a glintstone craftsman who served the Academy.,Misc,Expands crafting repertoire,
17f69c179b8l0i1zgf7yrmwlblu65f,Nomadic Warrior's Cookbook [22],https://eldenring.fanapis.com/images/items/17f69c179b8l0i1zgf7yrmwlblu65f.png,A record of crafting techniques left by roaming nomad warriors. Contains knowledge for surviving in the face of utter scarcity. Acquire the knowledge to craft the following: -Rot Pot -Rot Grease -Drawstring Rot Grease,Misc,Expands crafting repertoire,
17f69ca6512l0i1zgmwo4po0v83oq8,Glintstone Craftsman's Cookbook [3],https://eldenring.fanapis.com/images/items/17f69ca6512l0i1zgmwo4po0v83oq8.png,"Contains a record of crafting techniques left by a glintstone craftsman who served the Academy. Contains information on ""faux sorceries,""such as they were called.",Misc,Expands crafting repertoire,
