id,name,image,region,description,Liurnia of the Lakes
17f6961933bl0i2m880lere7qq0dqn,Gatefront Ruins,https://eldenring.fanapis.com/images/locations/17f6961933bl0i2m880lere7qq0dqn.png,Limgrave,"Gatefront Ruins is what remains of the now destroyed barracks near the fortification. Despite its poor state, it is a heavily guarded location by those loyal to Stormveil",
17f698e05eel0i2m8lxtk1iuo5pp3,Limgrave Tunnels,https://eldenring.fanapis.com/images/locations/17f698e05eel0i2m8lxtk1iuo5pp3.png,Limgrave,"Limgrave Tunnels are a mine harvested for Glimstone. Its zealous miners don't dare venture into its hidden chambers, for fear of the hoarder Troll within ",
17f69bc29c9l0i2m8mjnl6ac43o3sa,Groveside Cave,https://eldenring.fanapis.com/images/locations/17f69bc29c9l0i2m8mjnl6ac43o3sa.png,Limgrave,"Groveside Cave is a small refuge for wildlife in Limgrave. Its proximity to water and ease of access make it a sought-after shelter against bad weather, but those who venture in don't seem to return",
17f69c40d99l0i2m8n9bf756iumzy9,Minor Erdtree (mistwood),https://eldenring.fanapis.com/images/locations/17f69c40d99l0i2m8n9bf756iumzy9.png,Limgrave,Easily distiguished from the rest of the trees in Mistwood Forest.,
17f699b601fl0i2m8statevuowxrrb,Highroad Cave,https://eldenring.fanapis.com/images/locations/17f699b601fl0i2m8statevuowxrrb.png,Limgrave,"A cave that houses a tomb, deep within. It is situated at the northmost part of Limgrave. It has been inhabited by a pack of Wolves, Land Octopuses, and Giant Bats",
17f69d83e6bl0i2m8v6af0i4h94ltb,Mistwood,https://eldenring.fanapis.com/images/locations/17f69d83e6bl0i2m8v6af0i4h94ltb.png,Limgrave,"Mistwood is a Location in Elden Ring. The Mistwood region is located in the Eastern part of Limgrave. Tiered terrain, small beaches, and luscious forests occupied by Lesser Runebears are the defining features of this region.",
17f69a3ca6bl0i2m99b111ivu2aamcc,Mistwood Ruins,https://eldenring.fanapis.com/images/locations/17f69a3ca6bl0i2m99b111ivu2aamcc.png,Limgrave,"Concealed by the thriving growth of vegetation, these ruins are kept out of sight by the veil of nature itself. But there's more to it than what you see",
17f69dedf7al0i2m9b4pz1v8jipl5,Murkwater Catacombs,https://eldenring.fanapis.com/images/locations/17f69dedf7al0i2m9b4pz1v8jipl5.png,Limgrave,"An underground cemetery that is located at the north-east side of Agheel Lake in Limgrave. Once a place for peaceful rest for fallen heroes, it is now infested by goblins.  ",
17f69e79661l0i2m9c3uzzwon60ru,Murkwater Cave,https://eldenring.fanapis.com/images/locations/17f69e79661l0i2m9c3uzzwon60ru.png,Limgrave,A dark cave halfway through the Murkwater River ,
17f69f08b12l0i2m9h4uay98lftdb,Siofra River Well,https://eldenring.fanapis.com/images/locations/17f69f08b12l0i2m9h4uay98lftdb.png,Limgrave,"A mystical underground region filled with its own set of skies and stars. Beware, it is teeming with creatures big and small alike",
17f69f46160l0i2m9j5wvl4iyb5vv,Smoldering Church,https://eldenring.fanapis.com/images/locations/17f69f46160l0i2m9j5wvl4iyb5vv.png,Caelid,The Last Church in Limgrave before reaching Caelid,
17f69755f06l0i2m9ygrrte15vxjjn,Stormgate,https://eldenring.fanapis.com/images/locations/17f69755f06l0i2m9ygrrte15vxjjn.png,Limgrave,The Stormgate is a heavily guarded area that marks the border within Limgrave and Stormhill. Only the foolhardy would rush such against such odds ,
17f69c93d09l0i2m9yixlupxvwoc7r,Stormfoot Catacombs,https://eldenring.fanapis.com/images/locations/17f69c93d09l0i2m9yixlupxvwoc7r.png,Limgrave,"Stormfoot Catacombs were meant as a restful place for the deceased, but its now overrun by Goblins. Its deepest secrets are secured by the Guardian of the Burial Tree ",
17f69a317f4l0i2m9zw0s2ceqss32f,Stormhill,https://eldenring.fanapis.com/images/locations/17f69a317f4l0i2m9zw0s2ceqss32f.png,Limgrave,"Stormhill is a Location in Elden Ring. Stormhill is the upper half area of Limgrave, between its central river and Stormveil.",
17f6973afc2l0i2ma51e7fflgwsv2m,Stormhill Evergaol,https://eldenring.fanapis.com/images/locations/17f6973afc2l0i2ma51e7fflgwsv2m.png,Limgrave,The Brave and Foolish alike dare venture into the Stormhill Evergaol and face its relentless knight in battle,
17f69ad0772l0i2ma7gusqx8w2s1ao,Stormhill Shack,https://eldenring.fanapis.com/images/locations/17f69ad0772l0i2ma7gusqx8w2s1ao.png,Limgrave,The Stormhill Shack is a dilapidated shelter formerly used to house hunters in the area. A Site of Grace offers a needed moment of rest for those traveling nearby ,
17f69e77e65l0i2mam30d45d317ze1a,Stranded Graveyard,https://eldenring.fanapis.com/images/locations/17f69e77e65l0i2mam30d45d317ze1a.png,Limgrave,Stranded Graveyard is a dark and secluded location within the Cave of Knowledge. The confused and aimless dwell within,
17f69c37b1fl0i2manq5puf8m7lj6,Summonwater Village,https://eldenring.fanapis.com/images/locations/17f69c37b1fl0i2manq5puf8m7lj6.png,Limgrave,"D, Hunter of The Dead, warns you of this nearby village taken over by death, known as Summonwater Village ",
17f696f8b63l0i2maq3fi94tgr4s4t,Third Church Of Marika,https://eldenring.fanapis.com/images/locations/17f696f8b63l0i2maq3fi94tgr4s4t.png,Limgrave,The Ruins of an Old Church found in the Mistwood. The most prominent sight here is a statue of a lady with her arms outstretched,
17f69d5a094l0i2mata8cfyj4ci55t,Warmaster's Shack,https://eldenring.fanapis.com/images/locations/17f69d5a094l0i2mata8cfyj4ci55t.png,Limgrave,Small shack in a remote area near north-central Stormhill.,
17f69d6cc12l0i2maurcz3u35zq1e6,Waypoint Ruins,https://eldenring.fanapis.com/images/locations/17f69d6cc12l0i2maurcz3u35zq1e6.png,Limgrave,"Waypoint Ruins consists of a group of broken buildings and abandoned campsites, now overrun with poisonous flowers and their crazed caretaker",
17f699556dcl0i2mb8hu2t8gym49k9,Ailing Village,https://eldenring.fanapis.com/images/locations/17f699556dcl0i2mb8hu2t8gym49k9.png,Weeping Peninsula,"A small, abandoned village nestled within a forested area north of the Castle Morne Rampart. This village is host to long-dilapidated dwellings, inhabited only by hostile Demi-humans.  ",
17f69a08d1al0i2mbb18pbuvaqj0nv,Bridge Of Sacrifice,https://eldenring.fanapis.com/images/locations/17f69a08d1al0i2mbb18pbuvaqj0nv.png,Limgrave,"A busy bridge swarming with iron-clad foes. Be prepared to engage in an array of melee, ranged and artillery attacks or attempt to push past them",
17f6966a9acl0i2mbedz4xx9r4lz4h,Callu Baptismal Church,https://eldenring.fanapis.com/images/locations/17f6966a9acl0i2mbedz4xx9r4lz4h.png,Weeping Peninsula,"A dilapidated church, presumably frequented by the former residents of Ailing Village. Now it lies in ruin, its congregation replaced by a family of mutant vermin feasting on the remains of  unfortunate travelers",
17f698b669el0i2mbhazm5831nokpp,Church Of Pilgrimage,https://eldenring.fanapis.com/images/locations/17f698b669el0i2mbhazm5831nokpp.png,Weeping Peninsula,The Church of Pilgrimage is a broken building situated at the top of the cliff in the north of the Weeping Peninsula. Even with the walls and roof destroyed pilgrims still make the journey to visit this church,
17f69a8e6e3l0i2mbkue80sw8q9e9m,Castle Morne,https://eldenring.fanapis.com/images/locations/17f69a8e6e3l0i2mbkue80sw8q9e9m.png,Limgrave,"Remants of a chaos swept castle, teeming with iron-clad enemies -now engulfed with fire, piles of remains and ruin.",
17f698f0b5cl0i2mbvii8p3ju2s8p,Demi-human Forest Ruins,https://eldenring.fanapis.com/images/locations/17f698f0b5cl0i2mbvii8p3ju2s8p.png,Weeping Peninsula,"Demi-Humans congregate here to worship their queen. Defeating her will reward players with the Demi-Human Queen's Staff, which is excellent for beginner mages.",
17f69a6e7bal0i2mbxtdxxdlkbn228,Earthbore Cave,https://eldenring.fanapis.com/images/locations/17f69a6e7bal0i2mbxtdxxdlkbn228.png,Limgrave,Earthbore Cave is a small dark cave on the side of the Cliffside between Limgrave and Weeping Peninsula. One might be able to hear the squeaks of rats and the snoring of a large beast deep within if you listen closely,
17f69beb214l0i2mc1tu4e1udh50bg,Forest Lookout Tower,https://eldenring.fanapis.com/images/locations/17f69beb214l0i2mc1tu4e1udh50bg.png,Weeping Peninsula,"A run-down tower built on the edge of the cliffs of the Weeping Peninsula, located west of the Bridge of Sacrifice.  ",
17f69eb484al0i2mc6wcx3of77ezpi,Impaler's Catacombs,https://eldenring.fanapis.com/images/locations/17f69eb484al0i2mc6wcx3of77ezpi.png,Weeping Peninsula,"The Impaler's Catacombs are found in the east side of the Weeping Peninsula. Once used to store the bodies of the dead, it is now crawling with Imps. ",
17f699e2f56l0i2mcc0rz6jdgrnd4b,Fourth Church Of Marika,https://eldenring.fanapis.com/images/locations/17f699e2f56l0i2mcc0rz6jdgrnd4b.png,Weeping Peninsula,"The ruins of a lonely church, sitting atop a plateau west of the peninsula. Despite its current state, the altar remains intact and ghostly knights still roam the fields nearby, perhaps restless and duty-bound to safeguarding the area...",
17f6967f4a6l0i2mcivef17883vmx4,Minor Erdtree (weeping Peninsula),https://eldenring.fanapis.com/images/locations/17f6967f4a6l0i2mcivef17883vmx4.png,Weeping Peninsula,One of the large Erdtree's found in the Weeping Peninsula. An Erdtree Avatar charges at those who approach,
17f69e439b6l0i2mcjzcnj6kp3he1,Isolated Merchant's Shack,https://eldenring.fanapis.com/images/locations/17f69e439b6l0i2mcjzcnj6kp3he1.png,Weeping Peninsula,"Found at the western edge of the Weeping Peninsula, this lonesome hut is home to but a single person who has long adapted to a life of seclusion",
17f69ef93ffl0i2mcqpdy7v0jp2w4t,Oridys's Rise,https://eldenring.fanapis.com/images/locations/17f69ef93ffl0i2mcqpdy7v0jp2w4t.png,Weeping Peninsula,"A lone observation tower atop a plateau in the east of the Weeping Peninsula. Long since abandoned, the entrance is barred by a seal, presenting travelers with a small challenge",
17f6981a517l0i2mcvl2m9zjgmsg8q,Morne Tunnel,https://eldenring.fanapis.com/images/locations/17f6981a517l0i2mcvl2m9zjgmsg8q.png,Weeping Peninsula,A dark and hidden tunnel that is inhabited by Misbegottens and Miners.,
17f69d80346l0i2md4i5cedghtnq25,Tombsward Cave,https://eldenring.fanapis.com/images/locations/17f69d80346l0i2md4i5cedghtnq25.png,Weeping Peninsula,Hidden cave in the forest teeming with poison-filled creatures.,
17f69f4ffe5l0i2md88ra4eyn71p2h,Tombsward Ruins,https://eldenring.fanapis.com/images/locations/17f69f4ffe5l0i2md88ra4eyn71p2h.png,Weeping Peninsula,"The ruins of a former burial ground. Next to nothing remains here, yet squires still roam the dark tunnels beneath. Perhaps protecting the graves of their former noble masters..",
17f69e49901l0i2mdbbaoshgf9r6xb,Tombsward Catacombs,https://eldenring.fanapis.com/images/locations/17f69e49901l0i2mdbbaoshgf9r6xb.png,Weeping Peninsula,"The Tombsward Catacombs are hidden inside the mountain near the Minor Erdtree in the Weeping Peninsula. Once filled with the bodies of the dead, armed skeletons now rise to chase away those that wish to explore its depths.",
17f69f66bd4l0i2mddees047dl1w3,Tower Of Return,https://eldenring.fanapis.com/images/locations/17f69f66bd4l0i2mddees047dl1w3.png,Weeping Peninsula,"A dilapidated tower guarded by foot soldiers and mounted cavalry. Makeshift wooden platforms and ladders line the inside of the tower, allowing it to retain some function as a lookout point and a mount for ballistae",
17f698df3ebl0i2mdikdnz45fhyrc7,Weeping Evergaol,https://eldenring.fanapis.com/images/locations/17f698df3ebl0i2mdikdnz45fhyrc7.png,Weeping Peninsula,An evergaol located on the western landmass of the Weeping Peninsula. A formidable opponent is imprisoned within,
17f69aac157l0i2mdq7xv2njkwl739,Witchbane Ruins,https://eldenring.fanapis.com/images/locations/17f69aac157l0i2mdq7xv2njkwl739.png,Weeping Peninsula,"A set of ruins found in western Weeping Peninsula. Overgrown with thick shrubs and poisonous flowers, this decrepit landmark invites only misery and dread.  ",
17f69eea151l0i2mdvyoq9hes3awih,Academy Crystal Cave,https://eldenring.fanapis.com/images/locations/17f69eea151l0i2mdvyoq9hes3awih.png,Liurnia of the Lakes,"The depths of the Raya Lucaria Academy are rich in rose-tinted crystals, imbued with the natural magic of the area",
17f69ca396cl0i2mdysgmasljm2zkm,Academy Gate Town,https://eldenring.fanapis.com/images/locations/17f69ca396cl0i2mdysgmasljm2zkm.png,Liurnia of the Lakes,The sunken remains of the academy town,
17f69810cebl0i2mdzlqf85vs5362m,Ainsel River Well,https://eldenring.fanapis.com/images/locations/17f69810cebl0i2mdzlqf85vs5362m.png,Liurnia of the Lakes,A small structure housing a lift that takes you down to the Ainsel River.,
17f69f1bf17l0i2me5lh0rinbjahod,Artist's Shack,https://eldenring.fanapis.com/images/locations/17f69f1bf17l0i2me5lh0rinbjahod.png,Liurnia of the Lakes,A small cabin at North Liurnia of The Lakes. Its strongly perceived tranquility seems overshadowed by oblivion.  ,
17f69f3a31bl0i2meai1xfwcvclxod,Bellum Church,https://eldenring.fanapis.com/images/locations/17f69f3a31bl0i2meai1xfwcvclxod.png,Liurnia of the Lakes,Located past the ruins and the forested area guarded by Mounted Knights.,
17f69c7e27al0i2meh9ln3g7iucc9m,Bellum Highway,https://eldenring.fanapis.com/images/locations/17f69c7e27al0i2meh9ln3g7iucc9m.png,Liurnia of the Lakes,Outside the East Raya Lucaria Gate ,
17f699441c2l0i2men3bc9smd0h3jp,Black Knife Catacombs,https://eldenring.fanapis.com/images/locations/17f699441c2l0i2men3bc9smd0h3jp.png,Liurnia of the Lakes,"Black Knife Catacombs homes many skeletons and crabs within its depths, find and defeat the Black Knife Assassin within to obtain their dagger.",
17f696fcc61l0i2mesvptc01pvt2k,Caria Manor,https://eldenring.fanapis.com/images/locations/17f696fcc61l0i2mesvptc01pvt2k.png,Liurnia of the Lakes,A large estate situated far to the north of Liurnia.  ,
17f69671b3cl0i2meu31aoc55gpu6w,Boilprawn Shack,https://eldenring.fanapis.com/images/locations/17f69671b3cl0i2meu31aoc55gpu6w.png,Liurnia of the Lakes,Small cozy shack where Blackguard Big Boggart resides.,
17f69ebf5c7l0i2mf0jf9uvcbi972,Carian Study Hall,https://eldenring.fanapis.com/images/locations/17f69ebf5c7l0i2mf0jf9uvcbi972.png,Liurnia of the Lakes,A large library-like location full of spectres ,
17f69b84b61l0i2mfc7u9mll6xzntq,Chapel Of Anticipation,https://eldenring.fanapis.com/images/locations/17f69b84b61l0i2mfc7u9mll6xzntq.png,Limgrave,A small starting building with trail leading to an area occupied by a gnarly Grafted Scion,
17f698ad77al0i2mfezbdn6jgn0o9,Chelona's Rise,https://eldenring.fanapis.com/images/locations/17f698ad77al0i2mfezbdn6jgn0o9.png,Liurnia of the Lakes,A tower overlooking the southern-most tip of Liurnia of the lakes,
17f698e5adfl0i2mffrxjg7ruc39w,Church Of Inhibition,https://eldenring.fanapis.com/images/locations/17f698e5adfl0i2mffrxjg7ruc39w.png,Liurnia of the Lakes,"The remnants of an old church in the north of Liurnia, just before the Altus Plateau.",
17f69cce4d4l0i2mfhyp49jkapcfro,Cathedral Of Manus Celes,https://eldenring.fanapis.com/images/locations/17f69cce4d4l0i2mfhyp49jkapcfro.png,Liurnia of the Lakes,A large church atop the southern plateau of Liurnia.,
17f69eb0b5al0i2mfvs8tpdxql60r,Church Of Irith,https://eldenring.fanapis.com/images/locations/17f69eb0b5al0i2mfvs8tpdxql60r.png,Limgrave,,A peaceful church at the back of Stormveil Castle.
17f69c9c269l0i2mfxzgqbh7ffwoxe,Church Of Vows,https://eldenring.fanapis.com/images/locations/17f69c9c269l0i2mfxzgqbh7ffwoxe.png,Liurnia of the Lakes,"It is here, at the Church of Vows, that the great houses of the Erdtree and the Moon were joined by the matrimonial bond between red-haired Radagon and Rennala of the Full Moon. That is why it holds in view the monuments of both houses, the Erdtree of the Capital and the Academy of Raya Lucaria.",
17f69da1bd4l0i2mg2rzb8btkku3w,Converted Fringe Tower,https://eldenring.fanapis.com/images/locations/17f69da1bd4l0i2mg2rzb8btkku3w.png,Liurnia of the Lakes,A tower found on the fringe in the northeastern tip of Liurnia.,
17f69d1362al0i2mg4cjo2nkqwii0c,Converted Tower,https://eldenring.fanapis.com/images/locations/17f69d1362al0i2mg4cjo2nkqwii0c.png,Liurnia of the Lakes,An abandoned tower ,
17f698f564bl0i2mgkgv52gb259rpo,Cuckoo's Evergaol,https://eldenring.fanapis.com/images/locations/17f698f564bl0i2mgkgv52gb259rpo.png,Liurnia of the Lakes,Evergaol located on the western landmass of Liurnia. A powerful force stirs within.,
17f699e76bfl0i2mgmm6ms7zuiygi4,Deep Ainsel Well,,Liurnia of the Lakes,A deep well leading to the Moonlight Altar from the underground Grand Cloister.,
17f69a9bb63l0i2mgrk6uq0c1hc2ce,Divine Tower Of Liurnia,https://eldenring.fanapis.com/images/locations/17f69a9bb63l0i2mgrk6uq0c1hc2ce.png,Liurnia of the Lakes,Divine Tower of Liurnia is a Location in Elden Ring. The Divine Tower of Liurnia is found in Liurnia of the Lakes and is reached by taking the lift down at the secret area of Carian Study Hall.,
17f69b8ac92l0i2mgtov87be1r2nqe,Frenzied Flame Village,https://eldenring.fanapis.com/images/locations/17f69b8ac92l0i2mgtov87be1r2nqe.png,Liurnia of the Lakes,A village in Liurnia gripped in the madness of Three Fingers. Its denizens know nothing but the fiery frenzy burning within them,
17f699dd1c8l0i2mgue4joyaqx4gkf,Grand Lift Of Dectus,https://eldenring.fanapis.com/images/locations/17f699dd1c8l0i2mgue4joyaqx4gkf.png,Liurnia of the Lakes,"A massive lift platform found between Liurnia and the Altus Plateau. The mechanism that operates the lift is barred by four Guardian Statues, requiring the brandishing of a special artifact for them to release their hold",
17f6999ba4dl0i2mh3xyke5xw6a3,Highway Lookout Tower,https://eldenring.fanapis.com/images/locations/17f6999ba4dl0i2mh3xyke5xw6a3.png,Liurnia of the Lakes,A lone tower overlooking the Liurnia main road on the eastern landmass ,
17f69c4fae0l0i2mh89ctxbtq3mamf,Jarburg,https://eldenring.fanapis.com/images/locations/17f69c4fae0l0i2mh89ctxbtq3mamf.png,Liurnia of the Lakes,"Jarburg was a peaceful village, but the effects of the Shattering affected even the otherwise amicable Living Jar ",
17f696bd5cdl0i2mhe4ogfvk5y4fnk,Kingsrealm Ruins,https://eldenring.fanapis.com/images/locations/17f696bd5cdl0i2mhe4ogfvk5y4fnk.png,Liurnia of the Lakes,"A ruined area, only seemingly bare.",
17f69a91598l0i2mhgmal00xkh3qlq,Lakeside Crystal Cave,https://eldenring.fanapis.com/images/locations/17f69a91598l0i2mhgmal00xkh3qlq.png,Liurnia of the Lakes,"Hidden on the southwestern cliffs of Liurnia of the Lakes, a winding cave carved by large crystals",
17f6998e8c0l0i2mhji8anu11st2mt,Laskyar Ruins,https://eldenring.fanapis.com/images/locations/17f6998e8c0l0i2mhji8anu11st2mt.png,Liurnia of the Lakes,"Ruins of a sunken structure beset by fog, found amidst the marshes of south Liurnia.",
17f69755ab0l0i2mhph4nhezda1u7a,Lunar Estate Ruins,https://eldenring.fanapis.com/images/locations/17f69755ab0l0i2mhph4nhezda1u7a.png,Liurnia of the Lakes,The ruins of a large estate found atop the southwestern plateau of Liurnia.,
17f69dacb4bl0i2mhubpixrap5onq,Malefactor's Evergaol,https://eldenring.fanapis.com/images/locations/17f69dacb4bl0i2mhubpixrap5onq.png,Liurnia of the Lakes,An evergaol overlooking the vast lakes. An ever burning flame resides within,
17f69f56f55l0i2mhypmucze7mfrzc,Minor Erdtree (liurnia Southwest),https://eldenring.fanapis.com/images/locations/17f69f56f55l0i2mhypmucze7mfrzc.png,Limgrave,,This ancient Erdtree overlooks the lakes from the southwest
17f699944del0i2mi3slb26ih47ryg,Moonfolk Ruins,https://eldenring.fanapis.com/images/locations/17f699944del0i2mi3slb26ih47ryg.png,Liurnia of the Lakes,Ruins found in the southwest of the Liurnia of the Lakes region ,
17f69d966bel0i2mi4tvwhnn8vetm,Purified Ruins,https://eldenring.fanapis.com/images/locations/17f69d966bel0i2mi4tvwhnn8vetm.png,Liurnia of the Lakes,The holy remains now lie in ruin  ,
17f698099f7l0i2miaetoao4rp6xtb,Ranni's Rise,https://eldenring.fanapis.com/images/locations/17f698099f7l0i2miaetoao4rp6xtb.png,Liurnia of the Lakes,A tower beset by large chunks of glintstone emerging from the ground and penetrating its interiors. Home to a mysterious figure observing The Lands Between,
17f69c399c9l0i2mil0mh3d0ps7e7,Raya Lucaria Crystal Tunnel,https://eldenring.fanapis.com/images/locations/17f69c399c9l0i2mil0mh3d0ps7e7.png,Liurnia of the Lakes,One of the vast networks of tunnels used prominently for the academy's crystal mining operation.,
17f698a28ecl0i2mipyyaypw22zid,Renna's Rise,https://eldenring.fanapis.com/images/locations/17f698a28ecl0i2mipyyaypw22zid.png,Liurnia of the Lakes,"A Tower of the Three Sisters, belonging to Renna. It houses Ranni's Snow Witch Armor Set",
17f69bb1acal0i2mitcppzloop1zos,Revenger's Shack,https://eldenring.fanapis.com/images/locations/17f69bb1acal0i2mitcppzloop1zos.png,Liurnia of the Lakes,"An isolated shack north of the Minor Erdtree. Bodies litter the ground inside the shack, possibly belonging to those one has taken revenge upon",
17f6960e4ffl0i2mixrjbqp5ikjrdf,Ringleader's Evergaol,https://eldenring.fanapis.com/images/locations/17f6960e4ffl0i2mixrjbqp5ikjrdf.png,Liurnia of the Lakes,An evergaol where a nortorious assassin is incarcerated,
17f69cc10e6l0i2mj6tb3yh7hepkwb,Road's End Catacombs,https://eldenring.fanapis.com/images/locations/17f69cc10e6l0i2mj6tb3yh7hepkwb.png,Liurnia of the Lakes,Catacombs at the end of the world..,
17f69993058l0i2mjc4gismv720o76,Rose Church,https://eldenring.fanapis.com/images/locations/17f69993058l0i2mjc4gismv720o76.png,Liurnia of the Lakes,"The ruins of a former church aptly named Rose Church, for its walls are now festering with scarlet rot and overgrown with bloodroses.",
17f69bb8933l0i2mjfr92f3f404f5,Royal Grave Evergaol,https://eldenring.fanapis.com/images/locations/17f69bb8933l0i2mjfr92f3f404f5.png,Liurnia of the Lakes,An evergaol constructed for the Carian Royal family in the plains east of the royal estate,
17f699ac779l0i2mjk3m8nufj4z7fe,Ruin-strewn Precipice,https://eldenring.fanapis.com/images/locations/17f699ac779l0i2mjk3m8nufj4z7fe.png,Liurnia of the Lakes,A steep precipice with abundant caves in the insides all the way through ,
17f6973267cl0i2mjmwm9vdpxj72u,Seluvis's Rise,https://eldenring.fanapis.com/images/locations/17f6973267cl0i2mjmwm9vdpxj72u.png,Liurnia of the Lakes,A tower bequeathed unto Preceptor Seluvis. Serves as his personal study as he delves into the sorcerous arts.,
17f69c6be62l0i2mjs3roacssjuxza,Slumbering Wolf's Shack,https://eldenring.fanapis.com/images/locations/17f69c6be62l0i2mjs3roacssjuxza.png,Liurnia of the Lakes,"A small shack nestled at the side of a cliff, only accessible through a long winding cave system.   A woman and her wolf companion rest here.",
17f69bc3adbl0i2mjzcn0qc9u6t9bk,Stillwater Cave,https://eldenring.fanapis.com/images/locations/17f69bc3adbl0i2mjzcn0qc9u6t9bk.png,Liurnia of the Lakes,"A dark and murky cave beset by a poisonous miasma. Home to servants of rot, relishing in the presence of the giant poisonblooms endemic to the cave",
17f69e1147dl0i2mk2ygww3qoin7ba,Temple Quarter,https://eldenring.fanapis.com/images/locations/17f69e1147dl0i2mk2ygww3qoin7ba.png,Liurnia of the Lakes,"Ruined by the breaking, the Temple Quarter is now overrun with dangerous creatures, ready to attack any who come near ",
17f69d3b50fl0i2mk6p38tb210zrrj,Testu's Rise,https://eldenring.fanapis.com/images/locations/17f69d3b50fl0i2mk6p38tb210zrrj.png,Liurnia of the Lakes,An observation tower found in the middle of a lone isle in Liurnia. The entrance is sealed by impish magic and presents a challenge to would-be visitors,
17f69d66ba9l0i2mkaapoatsule3ab,The Four Belfries,https://eldenring.fanapis.com/images/locations/17f69d66ba9l0i2mkaapoatsule3ab.png,Liurnia of the Lakes,"As its name suggests, The Four Belfries is a hill with four large bell towers overlooking Liurnia from the west. Each belfry hosts a waygate that transports travelers to various locations",
17f696874a9l0i2mkds3uzk8ol689w,Village Of The Albinaurics,https://eldenring.fanapis.com/images/locations/17f696874a9l0i2mkds3uzk8ol689w.png,Liurnia of the Lakes,"The cursemongers have destroyed the Village of the Albinaurics, but perhaps their hope to reach the promised city is not yet lost",
17f69a76b08l0i2mkixrtbvunct38,Abandoned Cave,https://eldenring.fanapis.com/images/locations/17f69a76b08l0i2mkixrtbvunct38.png,Caelid,Long time abandoned cave.,
17f69935509l0i2mkr8vjb9f4f94v,Caelem Ruins,https://eldenring.fanapis.com/images/locations/17f69935509l0i2mkr8vjb9f4f94v.png,Caelid,A set of perpetually burning ruins in western Caelid. The Caelid Highway cuts through these ruins which are heavily guarded by mobile flamethrowers and swarming with burning reanimated corpses,
17f696635c6l0i2mkuc7ifimqdqkmw,Caelid Catacombs,https://eldenring.fanapis.com/images/locations/17f696635c6l0i2mkuc7ifimqdqkmw.png,Caelid,A labyrinth of Scarlet Rot-soaked floors and tunnels.,
17f69759442l0i2mkz2ozy780lp1ia,Caelid Waypoint Ruins,https://eldenring.fanapis.com/images/locations/17f69759442l0i2mkz2ozy780lp1ia.png,Caelid,"A set of ruins found in southwest Caelid, along the highway. Long abandoned, the ruins have become home to all manner of creatures that revel in the decay and putrefaction brought on by the scarlet rot",
