id,name,image,description,location,drops
17f6a48e789l0i6yu31h78fyzf033f,Giant Rat,https://eldenring.fanapis.com/images/creatures/17f6a48e789l0i6yu31h78fyzf033f.png,???,"Limgrave, Weeping Peninsula, Altus Plateau","['Golden Rune [3]', 'Giant Rat Ashes']"
17f6a376603l0i6yuaiwj16jsztf7e,Guillemot,https://eldenring.fanapis.com/images/creatures/17f6a376603l0i6yuaiwj16jsztf7e.png,"The Guillemot on the beaches of Limgrave are docile animals, but they are easily spooked",Roaming the beaches of Western Limgrave.,"['Flight Pinion', 'Four-Toed Fowl Foot', '6 Runes']"
17f6a359878l0i6yufgzh9jcns3vb,Lesser Runebear,https://eldenring.fanapis.com/images/creatures/17f6a359878l0i6yufgzh9jcns3vb.png,"Feral, often massive bears with runic patterns on their chest. Most commonly found scavenging the realms of The Lands Between or fighting other wild creatures.","Eastern Limgrave, Weeping Peninsula","['Hefty Beast Bone', '16 Runes']"
17f6a5acdf4l0i6yuhp3y4ou046hc3,Lesser Red Wolf Of Radagon,https://eldenring.fanapis.com/images/creatures/17f6a5acdf4l0i6yuhp3y4ou046hc3.png,"Hostile, over-sized wolves majestically covered in scarlet fur.",Liurnia of The Lakes,['4158 Runes']
17f6a53e49dl0i6yunvzzo7rq8l7cb,Lesser Spider Hand,,"Lesser Spider Hands are horrific creatures, surpassed only by their more powerful, gigantic counterparts.","Caria Manor, Liurnia of the Lakes, Mountaintops of the Giants",['???']
17f6a3d0ac1l0i6yut1mv1q5riwtbe,Land Octopus,https://eldenring.fanapis.com/images/creatures/17f6a3d0ac1l0i6yut1mv1q5riwtbe.png,The peculiar Land Octopus is a rather small but dangerous creature,In the watery areas of Agheel Lake and the beaches of Western Limgrave,"['12~13 Runes', 'Sometimes: Land Octopus Ovary']"
17f6a4b452bl0i6yuv2ywajxgixbnd,Owl,https://eldenring.fanapis.com/images/creatures/17f6a4b452bl0i6yuv2ywajxgixbnd.png,"Owls can be resting on the cliffs of Stormhill, and would even seem friendly and unconcerned by those passing by",perched on cliffs around Limgrave and Stormhill,['Moon Egg']
17f6a070695l0i6yv1st2tyq59xlk,Poison Flower,https://eldenring.fanapis.com/images/creatures/17f6a070695l0i6yv1st2tyq59xlk.png,Poison Flowers grow near caves and cellars in Limgrave,within Waypoint Ruins in Limgrave.,"['14 Runes', 'Poisonbloom']"
17f6a4415dcl0i6yv78pnx35hqq3u8,Land Squirt,https://eldenring.fanapis.com/images/creatures/17f6a4415dcl0i6yv78pnx35hqq3u8.png,Land Squirts are repulsive shallow water creatures that emit a poison mist to kill and devour those nearby,"Dragon-Burnt Ruins, Shores of Limgrave",['13 Runes']
17f6a55a3a8l0i6yvd9wioasyfq39c,Rat,https://eldenring.fanapis.com/images/creatures/17f6a55a3a8l0i6yvd9wioasyfq39c.png,"Giant rats plague the mines and caves of Limgrave, spreading diseases where they go","Limgrave Tunnels, Ailing Village, Tombsward Cave","[""Pauper's Rune"", 'Rune Arc', 'Golden Rune (1)', '13 Runes']"
17f6a26dde8l0i6yvhv0sfaca0cp78l,Rabbitgaroo,https://eldenring.fanapis.com/images/creatures/17f6a26dde8l0i6yvhv0sfaca0cp78l.png,"A species unique to The Lands Between, as adorable as scared.","Limgrave, South West Liurnia of the Lakes, ","['Thin Animal Bones', 'Sliver of Meat']"
17f69cf16d9l0i6yvjvc9in38ydv3c,Rotten Stray,https://eldenring.fanapis.com/images/creatures/17f69cf16d9l0i6yvjvc9in38ydv3c.png,"Undead dogs haunt the depths of Limgrave's mines, attacking all those who dwell into the tunnels",Limgrave Tunnels,"['Thin Beast Bones', '52~55 Runes']"
17f6a05a586l0i6yvqntjzd6hpa4jl,Sheep,https://eldenring.fanapis.com/images/creatures/17f6a05a586l0i6yvqntjzd6hpa4jl.png,"The sheep from Limgrave have long forgotten captivity, romaing the landscape freely instead.",in the pastures of Limgrave and Stormhill,"['Thin Beast Bones', 'Sliver of Meat', 'Beast Liver', '6 Runes']"
17f69dc762dl0i6yvxw3r8a3zemfvb,Skeletal Slime,https://eldenring.fanapis.com/images/creatures/17f69dc762dl0i6yvxw3r8a3zemfvb.png,"Skeletal slime drudges the shores and shallows of Limgrave, looking for prey to consume",in the watery areas of Agheel Lake and the beaches of Western Limgrave,"['Glass Shard', '16~18 Runes']"
17f6a367a0el0i6yw7fx9h19jrzggp,Spirit Jellyfish,https://eldenring.fanapis.com/images/creatures/17f6a367a0el0i6yw7fx9h19jrzggp.png,"Spirit Jellyfish are passive creatures seeking to protect, unless angered","Cemetery, west of Stormhill",['16 Runes']
17f6a0bd238l0i6yw9dgiguttijn5,Teardrop Scarab,https://eldenring.fanapis.com/images/creatures/17f6a0bd238l0i6yw9dgiguttijn5.png,There are both Crimson and Cerulean Teardrop Scarabs. Defeat them to replenish the flasks that match their type.,,
17f69e78bd0l0i6ywdt9vwdes5tt4b,Spider Hand,https://eldenring.fanapis.com/images/creatures/17f69e78bd0l0i6ywdt9vwdes5tt4b.png,"Spider Hands skitter about their environs, often clinging to walls to put the drop on unsuspecting trespassers. They are also capable of burrowing deep beneath the earth, violently bursting out of the ground to grab and crush their prey.","Caria Manor, Liurnia of the Lakes, Mountaintops of the Giants","['Somber Smithing Stone (2), Somber Smithing Stone (7)']"
17f6a23208cl0i6ywofpwtfyw4q8jl,Wild Mouflon,https://eldenring.fanapis.com/images/creatures/17f6a23208cl0i6ywofpwtfyw4q8jl.png,Wild Mouflons become hostile when threatened and fight their aggressors by charging forward and striking them with their large horns.,Stormhill,['None']
17f69f93e2cl0i6ywpl2tdr0v79vp8,Turtle,https://eldenring.fanapis.com/images/creatures/17f69f93e2cl0i6ywpl2tdr0v79vp8.png,"Turtles are passive creatures almost driven to extinction by those seeking its meat, said to have curative properties",West Limgrave,"['Turtle Neck Meat', '5 Runes']"
17f6a353752l0i6ywvuiyio67jzpbh,Wolf,https://eldenring.fanapis.com/images/creatures/17f6a353752l0i6ywvuiyio67jzpbh.png,"Wolves hunt the Lands Between in packs, and all those traveling should beware of their dangerous pack leaders","Limgrave, Groveside Cave","['Thin Animal Bones', 'Lump of Flesh', '66 Runes']"
17f69fd0dd7l0i6yx1o187uqkxkf08,Prawn Miner,https://eldenring.fanapis.com/images/creatures/17f69fd0dd7l0i6yx1o187uqkxkf08.png,Hostile over-developed creatures resembling large shrimps. Remarkably agile.,"Sellia Crystal Tunnel, Caelid Waypoint Ruins",['612 Runes']
17f69eb5eefl0i6yx32k657x6so7zf,Farum Azula Dragon,https://eldenring.fanapis.com/images/creatures/17f69eb5eefl0i6yx32k657x6so7zf.png,"Farum Azula Dragons fly around the Farum Azula or what's left of it, if any of them notice someone roaming around, they will come to hunt the down. They have the power of thunder and they will use it aggresively towards enemies.",Crumbling Farum Azula,"['Ancient Dragon Smithing Stone', '', '32,400 Runes']"
17f6a4720aal0i6yxmkks4qfttp3b8,Bloody Finger Nerijus,https://eldenring.fanapis.com/images/creatures/17f6a4720aal0i6yxmkks4qfttp3b8.png,"Bloody Finger Nerijus follows the Bloody Finger code, hunting for fellow Tarnished without remorse","Invades on the ravine leading north-east from Agheel Lake, toward Murkwater Catacombs","['316 Runes', 'Furcalling Finger Remedy', 'Reduvia']"
17f69eb7e95l0i6yxnw6glz7q4fubb,"Anastasia, Tarnished-eater",https://eldenring.fanapis.com/images/creatures/17f69eb7e95l0i6yxnw6glz7q4fubb.png,"Invaded by Anastasia, Tarnished-Eater!","Smoldering Church, Limgrave","['Furlcalling Finger Remedy', 'Sacred Scorpion Charm', '', 'Furlcalling Finger Remedy', 'Butchering Knife']"
17f6a01ad5cl0i6yxv6sq0qoo7tk0a,Bloody Finger Okina,https://eldenring.fanapis.com/images/creatures/17f6a01ad5cl0i6yxv6sq0qoo7tk0a.png,,"Flame Peak, Mountaintops of the Giants","['734 Runes', 'Furlcalling Finger Remedy', 'Rivers of Blood', 'Okina Mask']"
17f6a2def99l0i6yxwb7eyuhvu38tg,Edgar The Revenger,https://eldenring.fanapis.com/images/creatures/17f6a2def99l0i6yxwb7eyuhvu38tg.png,Edgar the Revenger is a warrior clad in medium armor and wields a halberd. His moveset involves mostly physical attacks and his poise is easily broken with magic.,"Revenger's Shack, Liurnia of the Lakes","['316 Runes', 'Furlcalling Finger Remedy', 'Shabriri Grape', ""Banished Knight's Halberd (+8)"", 'Raw Meat Dumpling x 5']"
17f6a10de56l0i6yygvqflqpozsvd,Inquisitor Ghiza,https://eldenring.fanapis.com/images/creatures/17f6a10de56l0i6yygvqflqpozsvd.png,???,Volcano Manor,"['316 Runes', 'Furlcalling Finger Remedy', ""Ghiza's Wheel""]"
17f69e29ac1l0i6yyt36xomtyw80pr,Mad Tongue Alberich,https://eldenring.fanapis.com/images/creatures/17f69e29ac1l0i6yyt36xomtyw80pr.png,???,Roundtable Hall,"[""Taunter's Tongue""]"
17f69d42847l0i6yywsyxrvn97q7pa,"Maleigh Marais, Shaded Castle Castellan",,Maleigh Marais's identity is completely shrouded by their mask and long robes. They are equipped with a rapier and move carefully around opponents. They are easily staggered with magic attacks such as Glintblade Phalanx.,Fields west of The Shaded Castle,"['4,800 Runes', 'Antspur Rapier', 'Marais Mask', 'Marais Robe']"
17f6a16077el0i6yz89rtvo0b08wet,Moongrum Carian Knight,https://eldenring.fanapis.com/images/creatures/17f6a16077el0i6yz89rtvo0b08wet.png,"Moongrum the Carian Knight is the guardian of Raya Lucaria Academy's Grand Library, he is the last line of defense against intruders who are wanting to slay the head sorcerer of the institute. Just like you, a Tarnished, Moongrum is capable of wielding two different weapons, a shield, can use sorcery, and even use Flasks to recover health. A true warrior of Raya Lucaria.",Raya Lucaria Academy,"['3000 Runes', ""Carian Knight's Shield""]"
17f6a4e77c6l0i6yz8ue9ura86soil,Preceptor Miriam,,???,Carian Study Hall,"['Magic Downpour', 'Lucidity']"
17f6a320fd9l0i6yzgmo2bwje3vtwa,Recusant Henricus,https://eldenring.fanapis.com/images/creatures/17f6a320fd9l0i6yzgmo2bwje3vtwa.png,Invaded by Recusant Henricus!,East of Stormhill Shack,"['Furlcalling Finger Remedy, Hammer Talisman']"
17f6a57a3dfl0i6yzlyirzoe6ek9qe,Albinauric,https://eldenring.fanapis.com/images/creatures/17f6a57a3dfl0i6yzlyirzoe6ek9qe.png,"Due to their comically large and round heads, Albinaurics are perpetually hunched-over. They are often found in groups of five or more and they employ rudimentary combat tactics, often attacking recklessly with repeated swings and long combos that leave them open. At times, you may spot an Albinauric performing quick cartwheels on the battlefield, displaying agility despite their stature.",Liurnia of the Lakes,['???']
17f69d8f6ecl0i6yzyadne1wptx69k,Albinauric Wolfback Archer,https://eldenring.fanapis.com/images/creatures/17f69d8f6ecl0i6yzyadne1wptx69k.png,Guarding the rooftops of Ordina.,Ordina Liturgical Town,"['Albinauric Bloodclot ', ""St. Trina's Arrow "", 'Blue Silver Mail Armor']"
17f6a42b641l0i6z019225gr50ro3y,Banished Knight,https://eldenring.fanapis.com/images/creatures/17f6a42b641l0i6z019225gr50ro3y.png,"A tall knight who was banished and bound to serve the Grafted Lord, and to kill those trespassers of Stormveil Castle. They are normally seen wielding a large weapon such as a longsword with a shield or a polearm, and they are fully protected with a complete set of armor.",Stormveil Castle,"['400 Runes', ""Banished Knight's Greatsword"", 'Banished Knight Set', ""Banished Knight's Shield"", ""Banished Knight's Halberd""]"
17f6a385eaal0i6z025b3timpwicqi,Azula Beastman,https://eldenring.fanapis.com/images/creatures/17f6a385eaal0i6z025b3timpwicqi.png,"The Beastmen of Farum Azula are ferocious half-man, half-beast warriors. They display remarkable agility and are proficient in a plethora of weaponry including various curved blades, greatswords, shields and spears. Many are also excellent marksmen with their unique curved throwing knives which they use with deadly precision.",Crumbling Farum Azula,['Sanctuary Stone']
17f6a26edb1l0i6z0c0l7q5bk6a84s,Baleful Shadow,https://eldenring.fanapis.com/images/creatures/17f6a26edb1l0i6z0c0l7q5bk6a84s.png,Assassins of the Two Fingers sent forth to carry out their dirty work,Ainsel River Main,['8561 Runes']
17f69fb509el0i6z0gtmfmrez3jub,Blackflame Monk,https://eldenring.fanapis.com/images/creatures/17f69fb509el0i6z0gtmfmrez3jub.png,"Mysterious hooded figures belonging to an order of monks that call upon the power of the Black Flame, as well as their astute martial prowess to fell foes and trespassers of their domains.",Divine Tower of Caelid,"['1,764 Runes', 'Blackflame Monk Armor']"
17f69feb47dl0i6z0k3ravqm7glk,Perfumer,https://eldenring.fanapis.com/images/creatures/17f69feb47dl0i6z0k3ravqm7glk.png,???,Leyndell Royal Capital,['563 Runes']
17f69f00cfel0i6z0mmodqv7jvdaci,Black Knight,https://eldenring.fanapis.com/images/creatures/17f69f00cfel0i6z0mmodqv7jvdaci.png,"The Black Knight, riding atop a dark steed, wielding a mighty halberd.","Limgrave, south-east of the telescope, patrolling on a bridge ",['935 Runes']
17f69dfb029l0i6z0wqysfsnnae3v,Godrick Knight,https://eldenring.fanapis.com/images/creatures/17f69dfb029l0i6z0wqysfsnnae3v.png,"Wielders of heavy swords and spears, protected by large shields and fully armored. These Knights are often aided in combat by soldiers or hostile dogs, therefore posing a threat to the unprepared and novice.",Limgrave,['260 Runes']
17f69d1db06l0i6z0z639orzq5og3g,Castle Guard,https://eldenring.fanapis.com/images/creatures/17f69d1db06l0i6z0z639orzq5og3g.png,"Castle Guards comprise the bulk of Stormveil's defenses, but are by no means the most dangerous of the many great ones within.",Stormveil Castle,"['114 Runes', 'Exile Set', 'Torchpole', 'Stormhawk Feather', ""Soldier's Crossbow""]"
17f6a302bd7l0i6z12o9lq9y1lew9n,Chanting Winged Dame,https://eldenring.fanapis.com/images/creatures/17f6a302bd7l0i6z12o9lq9y1lew9n.png,The Chanting Winged Dames of Liurnia of The Lakes are equally hostile as they are suspicious.,"Ruin-Strewn Precipice, Liurnia of The Lakes, Fort Faroth",['Golden Rune [5]']
17f69ef99e6l0i6z16kucxff07ajb,Clayman,https://eldenring.fanapis.com/images/creatures/17f69ef99e6l0i6z16kucxff07ajb.png,???,"Siofra River, Ainsel River",['120 Runes']
17f6a21d89al0i6z17flcn6njlnoa,Commoner,https://eldenring.fanapis.com/images/creatures/17f6a21d89al0i6z17flcn6njlnoa.png,"The Commoner is a servant that is bound to perform duties for their superiors within Stormveil Castle. They appear to be tall, slender, yet weak, who is still capable of fighting trespassers.",Stormveil Castle,"['67 Runes', ""Commoner's Garb"", ""Commoner's Shoes""]"
17f6a47d8c4l0i6z1hixh46ze7d0j,Demi-human,https://eldenring.fanapis.com/images/creatures/17f6a47d8c4l0i6z1hixh46ze7d0j.png,"Agile and hostile, Demi-Humans scavenge the land in groups commanded by a leader, a stronger and more menacing creature. They roam the field light-armored and wielding a wide range of melee weapons and wooden shields.","Caves and beaches of Limgrave, such as Dissenter's Cave.","['42 Runes', 'Rainbow Stone', 'Rickety Shield', 'Falchion', 'String', 'Glowstone', '', 'Rainbow Stone']"
17f6a4a39c2l0i6z1owhunir5sz7ok,Fire Monk,https://eldenring.fanapis.com/images/creatures/17f6a4a39c2l0i6z1owhunir5sz7ok.png,"Fire Monks hierarchically gather in ceremonies, often at night, burning their way through Liurnia of The Lakes with torches and Mobile Flamethrowers. Fire Monk Abbots have the powerful ability of bursting flames from their hands and must be fought carefully.",East Liurnia of The Lakes,"['Fire Monk Hood', 'Fire Monk Armor', 'Fire Monk Gauntlets', 'Fire Monk Greaves', ""Monk's Flamemace"", 'Smouldering Butterfly', 'Fire Blossom']"
17f69cf24d6l0i6z1pyyc80cokt3a,Sorcerer Miner,https://eldenring.fanapis.com/images/creatures/17f69cf24d6l0i6z1pyyc80cokt3a.png,"Frail and malnourished, Diggers wield a glintstone-imbued staff for mining which doubles as a weapon when push comes to shove.",Altus Tunnel,"['Runes', ""Digger's Staff""]"
17f6a5b8c8al0i6z1sda5f93o89ubg,Flame Guardian,https://eldenring.fanapis.com/images/creatures/17f6a5b8c8al0i6z1sda5f93o89ubg.png,"Flame Guardians are slender humanoids dressed in simple white garbs and wearing a bronze mask, concealing their identity. They are equipped with long, flaming poles/staves and wield fire magic.",Guardians' Garrison,"['2,415 Runes']"
17f69fbc645l0i6z1th5oc8w2y7kqk,Glintstone Sorcerer,,"Glintstone Sorcerers are decked in Raya Lucarian Robes and distinct Glintstone Crown masks that obscure their identity. These scholars have access to lower level spells such as Glintstone Pebble, among others.",Raya Lucaria Academy,['???']
17f6a2e238el0i6z20md0879bx2sa,Gnoll,https://eldenring.fanapis.com/images/creatures/17f6a2e238el0i6z20md0879bx2sa.png,"Hungry Gnolls are usually found eating from dead bodies which makes them vulnerable to surprise or stealth attacks, but they are quick and unforgivingly lethal. They come in different classes, some of the wield a sword and use it very acrobatically, other use shields and some even are able to cast thunder.",Crumbling Farum Azola,['Sanctuary Stone']
17f6a3a9029l0i6z27h60v22c5sisi,Godrick Soldier,https://eldenring.fanapis.com/images/creatures/17f6a3a9029l0i6z27h60v22c5sisi.png,"The Godrick Soldiers of the Lands Between now roam the landscape, their clothes rags, hoping to rebuild their lives","Gatefront Ruins, Castle Morne, Stormgate, Roaming the Limgrave landscape",['64 - 77 Runes']
17f69f23c47l0i6z297epd0jcox8d,Golem,https://eldenring.fanapis.com/images/creatures/17f69f23c47l0i6z297epd0jcox8d.png,"Golems lay inactive in the hills of Stormhill, but those foolish enough to wake them will soon curse their fate","West ruins of Stormhill., Castle Morne Entrance, Ainsel River Well, Leyndell, Royal Capital","['3x Smithing Stone Shard', '844~1039 Runes']"
17f69d31a06l0i6z2kyia61ityqps,Highwayman,https://eldenring.fanapis.com/images/creatures/17f69d31a06l0i6z2kyia61ityqps.png,"Former foot soldiers who have turned to banditry. Clandestine and secluded from civilazation, now they lie in hidden caves.",Murkwater Cave,"['Bolt', 'Smoldering Butterfly', 'Highwayman Hood']"
17f6a1704cdl0i6z2ohrqnekxuveon,Great Horned Tragoth,https://eldenring.fanapis.com/images/creatures/17f6a1704cdl0i6z2ohrqnekxuveon.png,Invading another world. Defeat Great Horned Tragoth!,Ruin-Strewn Precipice,"['158 Runes', 'Furlcalling Finger Remedy', 'Rune Arc', 'Bull-Goat Helm', 'Bull-Goat Armor', 'Bull-Goat Gauntlets', 'Bull-Goat Greaves']"
17f6a37a5f1l0i6z2ptkcpanfvzxk,Gold Dragon Cult Knight,https://eldenring.fanapis.com/images/creatures/17f6a37a5f1l0i6z2ptkcpanfvzxk.png,"Exceedingly tough and skillful Knight, a golden armor-wearing menace lethal to most. Highly trained warrior and a threatening adversary due to its fine combat skills.",Liurnia of The Lakes,"['Dragon Cult Prayerbook', '', 'Leyndell Knight Set', '']"
17f69d38beel0i6z2uah4n55ouvrrh,Imp,https://eldenring.fanapis.com/images/creatures/17f69d38beel0i6z2uah4n55ouvrrh.png,"Imps infest many catacombs in the Lands Between, although some theorize they could be protecting their secrets",Within dungeons and catacombs,"['Forked Hatchet', '40~67 Runes']"
17f69db3251l0i6z2uxrqc134y3ewp,Imp Miner,https://eldenring.fanapis.com/images/creatures/17f69db3251l0i6z2uxrqc134y3ewp.png,"Small and agile creatures that typically conceal themselves within a smokescreen., Often wielding an axe or a flail amd performing flying attacks.",Ruin-Strewn Precipice,['None']
17f6a0250f0l0i6z33camvyws96s0v,Invisible Warrior,https://eldenring.fanapis.com/images/creatures/17f6a0250f0l0i6z33camvyws96s0v.png,"Sneak warriors, patient and quick to get in your back.",Ordina Liturgical Town,['Ghost Glovewort (9)']
17f6a6452b7l0i6z39vw4cv451i5eh,"Juno Hoslow, Knight Of Blood",https://eldenring.fanapis.com/images/creatures/17f6a6452b7l0i6z39vw4cv451i5eh.png,???,Mountaintops of the Giants,"['158 Runes', 'Rune Arc', 'Furlcalling Finger Remedy', ""Hoslow's Petal Whip"", ""Hoslow's Helm"", ""Hoslow's Armor"", ""Hoslow's Gauntlets"", ""Hoslow's Greaves""]"
17f6a54cd85l0i6z3dvc1msyzxgnhb,Imp,https://eldenring.fanapis.com/images/creatures/17f6a54cd85l0i6z3dvc1msyzxgnhb.png,"Imps infest many catacombs in the Lands Between, although some theorize they could be protecting their secrets",Within dungeons and catacombs,"['Forked Hatchet', '40~67 Runes']"
17f6a468558l0i6z3evwocwf8dyje,Lesser Burial Watchdog,https://eldenring.fanapis.com/images/creatures/17f6a468558l0i6z3evwocwf8dyje.png,"A living construct fashioned after felines and hounds, made to watch over catacombs. These constructs wield massive stone weaponry and are attuned to different elements.",Giant-Conquering Hero's Grave,"['3,712 Runes']"
17f6a542bd4l0i6z3nv6rhyzwgpy3s,Knight Of Zamor,https://eldenring.fanapis.com/images/creatures/17f6a542bd4l0i6z3nv6rhyzwgpy3s.png,"Knights of Zamor are slender humanoids with long hair, wielding a peculiar curved blade. These warriors are graceful and perform almost dance-like maneuvers as they weave across the battlefield. As denizens of the Mountaintops of the Giants, Knights of Zamor are strongly attuned to Frost, utilizing its powers to bolster their swordplay.",Zamor Ruins,"['5,039 Runes']"
17f6a590e96l0i6z3ozc8rcbywnwpk,Lesser Pumpkin Head,https://eldenring.fanapis.com/images/creatures/17f6a590e96l0i6z3ozc8rcbywnwpk.png,"The Lesser Pumpkin Head is a weaker variant of the Pumpkin Head. It appears to be an outcast due to its appearance and is mainly used as one of a weapon to fight against intruders and trespassers alike. The Lesser Pumpkin Head can be seen wearing a Pumpkin Helm, a distressed cloak, and wields a large club.","Castle Morne, Raya Lucaria Academy, Limgrave","['Pumpkin Helm', 'Sanctuary Stone', '273~293 Runes']"
17f6a1094del0i6z3usa6gslbq7dbv,Lesser Ulcerated Tree Spirit,https://eldenring.fanapis.com/images/creatures/17f6a1094del0i6z3usa6gslbq7dbv.png,A guardian that sleeps deep within the crypt of Stormveil Castle. It is quick and very aggressive when it attacks and moves similar to a centipede with its multiple legs. The Lesser Ulcerated Tree Spirit also features two large arms and a tail that it mainly uses to swing around or to slam the ground.,Stormveil Castle,"['Runes', 'Golden Seed']"
