id,name,image,description,effect
17f69d7c380l0i2sw0rxwfk68fidwr,Graven-school Talisman,https://eldenring.fanapis.com/images/talismans/17f69d7c380l0i2sw0rxwfk68fidwr.png,"A talisman depicting a school of graven mages, the nightmare of the academy.",Raises potency of sorceries
17f69c0c973l0i2sw8w6uvbwqiqfmy,Godfrey Icon,https://eldenring.fanapis.com/images/talismans/17f69c0c973l0i2sw8w6uvbwqiqfmy.png,"A legendary talisman depicting the Elden Lord Godfrey. Raises charge attack power of sorceries, incantations, and skills.",Enhances charged spells and skills.
17f69858252l0i2swaqtyccdf5kihk,Lance Talisman,https://eldenring.fanapis.com/images/talismans/17f69858252l0i2swaqtyccdf5kihk.png,A talisman depicting a lance and a knight. Enhances attacks while on horseback.,Enhances attacks on horseback
17f69ee87e3l0i2swe4iei5nanxbr,Graven-mass Talisman,https://eldenring.fanapis.com/images/talismans/17f69ee87e3l0i2swe4iei5nanxbr.png,"A talisman depicting the first school of graven mages — a nightmare that would continue to haunt the academy.  Greatly raises potency of sorceries.  The primeval current is a forbidden tradition of glintstone sorcery. To those who cleave to its teachings, the act of collecting sorcerers to fashion them into the seeds of stars is but another path of scientific inquiry.",Greatly raises potency of sorceries.
17f6967466bl0i2swi5et1ibv4rc6r,Ancestral Spirit's Horn,https://eldenring.fanapis.com/images/talismans/17f6967466bl0i2swi5et1ibv4rc6r.png,Item cut from the horns of the Regal Ancestor Spirit.,Restores FP upon defeating enemies
17f69990291l0i2swl19cw8v99d5tk,Stalwart Horn Charm,https://eldenring.fanapis.com/images/talismans/17f69990291l0i2swl19cw8v99d5tk.png,"An accoutrement worn by the ancestral followers. Greatly raises robustness. (Robustness governs resistance to blood loss and frost.)  Said to be a budding horn. The ancestral followers believe that the horns of a long-lived beast continue to bud like antlers, over and over again, until the beast one day becomes an ancestral spirit.",Greatly raises robustness
17f696b90dbl0i2sws9twxdvi39xzf,Dragoncrest Greatshield Talisman,https://eldenring.fanapis.com/images/talismans/17f696b90dbl0i2sws9twxdvi39xzf.png,Legendary talisman of wrought iron depicting a massive ancient dragon. Enormously boosts physical damage negation.,Enormously boosts physical damage negation
17f69c504f2l0i2swunxt9oun5dn9,Marika's Soreseal,https://eldenring.fanapis.com/images/talismans/17f69c504f2l0i2swunxt9oun5dn9.png,"This legendary talisman is an eye engraved with an Elden Rune, said to be the seal of Queen Marika.","Greatly raises attributes, but also increases damage taken."
17f69d1b2c0l0i2sx1e2ftbrqshztb,Gold Scarab,https://eldenring.fanapis.com/images/talismans/17f69d1b2c0l0i2sx1e2ftbrqshztb.png,"A talisman facsimile of a scarab, the carrier of treasures and precious things.",Increases runes obtained from
17f699ae959l0i2sx3bloupcziqiz,Ritual Sword Talisman,https://eldenring.fanapis.com/images/talismans/17f699ae959l0i2sx3bloupcziqiz.png,A talisman patterned after swords used in ritual combat held to honor the Erdtree.,Raises attack power when HP is at maximum.
17f699e1a3al0i2sxkv62fi32hab4,Ritual Shield Talisman,https://eldenring.fanapis.com/images/talismans/17f699e1a3al0i2sxkv62fi32hab4.png,A talisman patterned after shields used in ritual combat held to honor the Erdtree.,Raises defense when HP is at maximum.
17f69e92d45l0i2sxmogqn2tdfna89,Perfumer's Talisman,https://eldenring.fanapis.com/images/talismans/17f69e92d45l0i2sxmogqn2tdfna89.png,A talisman depicting a set of perfume bottles. Raises potency of perfume items.,Raises potency of perfume items
17f69b3ce89l0i2sxo7j01c9t4v2b,Blue-feathered Branchsword,https://eldenring.fanapis.com/images/talismans/17f69b3ce89l0i2sxo7j01c9t4v2b.png,"A talisman adorned with blue feathers, once used in ancient death rituals.",Raises defense when HP is low.
17f69747fbcl0i2sxow29iyn6fm75v,Magic Scorpion Charm,https://eldenring.fanapis.com/images/talismans/17f69747fbcl0i2sxow29iyn6fm75v.png,"A talisman carried by assassins who strike unseen. Patterned on a scorpion freshly shed of its exoskeleton, its claws seizing a heart that shimmers with magic.","Raises magic attack, but lowers damage negation"
17f69c86334l0i2sy3lip14s6g9qa,Prince Of Death's Cyst,https://eldenring.fanapis.com/images/talismans/17f69c86334l0i2sy3lip14s6g9qa.png,"A fetid, overgrown cyst taken from facial flesh. Greatly raises vitality. (Vitality governs resistance to the effects of Death.)",Greatly raises vitality
17f69f4710al0i2sy6gpkd85ki28,Warrior Jar Shard,https://eldenring.fanapis.com/images/talismans/17f69f4710al0i2sy6gpkd85ki28.png,Shard of a shattered warrior jar.,Boosts the attack power of skills.
17f698e1ea9l0i2sy8csbpc3y128lo,Shard Of Alexander,https://eldenring.fanapis.com/images/talismans/17f698e1ea9l0i2sy8csbpc3y128lo.png,"Shard of the late Alexander, a shattered warrior jar.",Greatly boosts the attack power of skills.
17f69ba2ff0l0i2sye3sdb94vc6u6j,Greatshield Talisman,https://eldenring.fanapis.com/images/talismans/17f69ba2ff0l0i2sye3sdb94vc6u6j.png,Talisman depicting a knight holding a greatshield. Boosts guarding ability.,Boosts guarding ability.
17f69afb835l0i2sykg6ynuw6wl9b,Millicent's Prosthesis,https://eldenring.fanapis.com/images/talismans/17f69afb835l0i2sykg6ynuw6wl9b.png,Part of the golden prosthesis used by Millicent. The hand is locked into a fist that once raised a sword aloft.,"Boosts dexterity, raises attack power with successive attacks"
17f69e13918l0i2syr0vvb0gg1l8xg,Spear Talisman,https://eldenring.fanapis.com/images/talismans/17f69e13918l0i2syr0vvb0gg1l8xg.png,A talisman depicting a spear and a soldier. Enhances the counterattacks that are unique to thrusting weapons.,Enhances counterattacks unique to thrusting weapons
17f6991130cl0i2sywsfxyysl6tz7h,Dagger Talisman,https://eldenring.fanapis.com/images/talismans/17f6991130cl0i2sywsfxyysl6tz7h.png,A talisman depicting a dagger and a surgeon. Enhances critical hits.,Enhances critical hits.
17f69ad7529l0i2syzo9ji7wrucoq5,Red-feathered Branchsword,https://eldenring.fanapis.com/images/talismans/17f69ad7529l0i2syzo9ji7wrucoq5.png,"A talisman adorned with red feathers, once used in ancient death rituals.",Raises attack power when HP is low.
17f69eaed7fl0i2sz3buubfj570rq,Companion Jar,https://eldenring.fanapis.com/images/talismans/17f69eaed7fl0i2sz3buubfj570rq.png,A talisman given by the jars to their friends. Raises potency of thrown jars.,Raises potency of throwing pots
17f6976f6b0l0i2szav175mw9xww9x,Flock's Canvas Talisman,https://eldenring.fanapis.com/images/talismans/17f6976f6b0l0i2szav175mw9xww9x.png,A talisman bearing an icon that depicts a mass of masked figures. Greatly raises potency of incantations.,Greatly raises potency of Incantations.
17f69c9bfc8l0i2sze3h5gawcr577p,Concealing Veil,https://eldenring.fanapis.com/images/talismans/17f69c9bfc8l0i2sze3h5gawcr577p.png,Talisman put together from dark cloth with a lustrous sheen,Conceals wearer while crouching away from foes
17f69cdc905l0i2szmkk79ces1m9ea,Furled Finger's Trick-mirror,https://eldenring.fanapis.com/images/talismans/17f69cdc905l0i2szmkk79ces1m9ea.png,"A small, clouded mirror that reflects a flesh-and-blood figure. Makes the bearer take on the appearance of a Host of Fingers One of the ritual implements created by the Tarnished to deceive invaders.",Take on appearance of a Host of Fingers
17f69d33e2dl0i2szt872otxd3taua,Crucible Feather Talisman,https://eldenring.fanapis.com/images/talismans/17f69d33e2dl0i2szt872otxd3taua.png,A talisman fashioned from feathers that embody the aspects of various creatures. Said to have grown on the human body long ago.,Improves dodge rolling but increases damage taken
17f699d64d5l0i2szu3wjjkmeqklc,Daedicar's Woe,https://eldenring.fanapis.com/images/talismans/17f699d64d5l0i2szu3wjjkmeqklc.png,Disturbing likeness of a woman whose skin was flayed. She smiles with a serene tenderness.,Increases damage taken
17f69e0bce6l0i2szv2ltfxx820p4e,Host's Trick-mirror,https://eldenring.fanapis.com/images/talismans/17f69e0bce6l0i2szv2ltfxx820p4e.png,"A small, clouded mirror that reflects a flesh-and-blood figure.",Take on appearance of a cooperator
17f696c4991l0i2szwm52zrw4bgso4,Entwining Umbilical Cord,https://eldenring.fanapis.com/images/talismans/17f696c4991l0i2szwm52zrw4bgso4.png,Mysterious circular object that's oddly warped. Changes the demeanour of the wearer's actions.,Changes demeanour of wearer's actions
